Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC
Waterfall Cave,Amazing Blue Ore Deposit,,Blue Stone,Very Common,Apprentice,,
Waterfall Cave,Amazing Blue Ore Deposit,,Plains Iron,Common,Apprentice,,
Waterfall Cave,Amazing Blue Ore Deposit,,Minty Ore,Uncommon,Apprentice,,
Waterfall Cave,Amazing Blue Ore Deposit,,Aquamarine,Very Rare,Apprentice,,
Waterfall Cave,Wind Wingstone,,Plains Iron,Very Common,Apprentice,,
Waterfall Cave,Wind Wingstone,,Wind Mana +,Common,Apprentice,,
Waterfall Cave,Wind Wingstone,,Aquamarine,Rare,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,Toolstone,Tool Upgrade Stone,80%,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,Toolstone,Attack Upgrade Stone,10%,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,Toolstone,Def. Upgrade Stone,10%,Apprentice,,
Waterfall Cave,Great Iron Ore Deposit,Toolstone,150 Dosh,,Apprentice,,
Waterfall Cave,Amazing Blue Ore Deposit,Pure Gemstone,Aquamarine,100%,Apprentice,,
Waterfall Cave,Amazing Blue Ore Deposit,Pure Gemstone,400 Dosh,,Apprentice,,
Waterfall Cave,Wind Wingstone,Wind Elemental Rock,Wind Shard,90%,Apprentice,,
Waterfall Cave,Wind Wingstone,Wind Elemental Rock,Wind Mana +,10%,Apprentice,,
Waterfall Cave,Wind Wingstone,Wind Elemental Rock,1500 Dosh,,Apprentice,,
Lava Cave,Magma Ore Deposit,,Magma Ore,Very Common,Master,,
Lava Cave,Magma Ore Deposit,,Minty Ore,Common,Master,,
Lava Cave,Magma Ore Deposit,,Quality Minty Ore,Uncommon,Master,,
Lava Cave,Magma Ore Deposit,,Ruby,Very Rare,Master,,
Lava Cave,Great Magma Ore Deposit,,Magma Ore,Very Common,Master,,
Lava Cave,Great Magma Ore Deposit,,Minty Ore,Common,Master,,
Lava Cave,Great Magma Ore Deposit,,Quality Minty Ore,Uncommon,Master,,
Lava Cave,Great Magma Ore Deposit,,Ruby,Very Rare,Master,,
Lava Cave,Superior Red Ore Deposit,,Quality Minty Ore,Very Common,Master,,
Lava Cave,Superior Red Ore Deposit,,Magma Ore,Common,Master,,
Lava Cave,Superior Red Ore Deposit,,Minty Ore,Uncommon,Master,,
Lava Cave,Superior Red Ore Deposit,,Ruby,Very Rare,Master,,
Lava Cave,Amazing Red Ore Deposit,,Quality Minty Ore,Very Common,Master,,
Lava Cave,Amazing Red Ore Deposit,,Magma Ore,Common,Master,,
Lava Cave,Amazing Red Ore Deposit,,Minty Ore,Uncommon,Master,,
Lava Cave,Amazing Red Ore Deposit,,Ruby,Very Rare,Master,,
Lava Cave,Great Magma Ore Deposit,Divine Toolstone,Tool Upgrade Stone +,80%,Master,,
Lava Cave,Great Magma Ore Deposit,Divine Toolstone,Attack Upgrade Stone +,10%,Master,,
Lava Cave,Great Magma Ore Deposit,Divine Toolstone,Def. Upgrade Stone +,10%,Master,,
Lava Cave,Great Magma Ore Deposit,Divine Toolstone,300 Dosh,,Master,,
Lava Cave,Amazing Magma Ore Deposit,Incandescent Gemstone,Ruby,100%,Master,,
Lava Cave,Amazing Magma Ore Deposit,Incandescent Gemstone,600 Dosh,,Master,,
Lava Cave,Dragon Scab,Dragon Scab Bounty,Dragon Shard,90%,Master,,
Lava Cave,Dragon Scab,Dragon Scab Bounty,Dragon Scales,10%,Master,,
Lava Cave,Dragon Scab,Dragon Scab Bounty,1000 Dosh,,Master,,
Lava Cave,Golem Stone,Golem Stone Bounty,Golem Fragment,100%,Creator,Miner,DLC
Lava Cave,Golem Stone,Golem Stone Bounty,5000 Dosh,,Creator,Miner,DLC
Mt Snowpeak Summit,Platinum Deposit,,Platinum Ore,Very Common,Master,,
Mt Snowpeak Summit,Platinum Deposit,,Quality Minty Ore,Common,Master,,
Mt Snowpeak Summit,Platinum Deposit,,Minty Ore,Uncommon,Master,,
Mt Snowpeak Summit,Platinum Deposit,,Sapphire,Very Rare,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,,Platinum Ore,Very Common,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,,Quality Minty Ore,Common,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,,Minty Ore,Uncommon,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,,Sapphire,Very Rare,Master,,
Mt Snowpeak Summit,Superior Platinum Deposit,,Quality Minty Ore,Very Common,Master,,
Mt Snowpeak Summit,Superior Platinum Deposit,,Platinum Ore,Common,Master,,
Mt Snowpeak Summit,Superior Platinum Deposit,,Minty Ore,Uncommon,Master,,
Mt Snowpeak Summit,Superior Platinum Deposit,,Sapphire,Very Rare,Master,,
Mt Snowpeak Summit,Amazing Platinum Deposit,,Quality Minty Ore,Very Common,Master,,
Mt Snowpeak Summit,Amazing Platinum Deposit,,Platinum Ore,Common,Master,,
Mt Snowpeak Summit,Amazing Platinum Deposit,,Minty Ore,Uncommon,Master,,
Mt Snowpeak Summit,Amazing Platinum Deposit,,Sapphire,Very Rare,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,Divine Powerstone,Tool Upgrade Stone +,10%,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,Divine Powerstone,Attack Upgrade Stone +,80%,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,Divine Powerstone,Def. Upgrade Stone +,10%,Master,,
Mt Snowpeak Summit,Great Platinum Deposit,Divine Powerstone,400 Dosh,,Master,,
Mt Snowpeak Summit,Amazing Platinum Ore Deposit,Mountain Gemstone,Sapphire,100%,Master,,
Mt Snowpeak Summit,Amazing Platinum Ore Deposit,Mountain Gemstone,800 Dosh,,Master,,
Port Puerto Beach District,Silver Ore Deposit,,Port Puerto Silver,Very Common,Adept,,
Port Puerto Beach District,Silver Ore Deposit,,Minty Ore,Common,Adept,,
Port Puerto Beach District,Silver Ore Deposit,,Quality Minty Ore,Uncommon,Adept,,
Tortuga Archipelago,Silver Ore Deposit,,Port Puerto Silver,Very Common,Adept,,
Tortuga Archipelago,Silver Ore Deposit,,Minty Ore,Common,Adept,,
Tortuga Archipelago,Silver Ore Deposit,,Quality Minty Ore,Uncommon,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,,Port Puerto Silver,Very Common,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,,Minty Ore,Common,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,,Quality Minty Ore,Uncommon,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,Strifestone,Tool Upgrade Stone,10%,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,Strifestone,Attack Upgrade Stone,80%,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,Strifestone,Def. Upgrade Stone,10%,Adept,,
Tortuga Archipelago,Great Silver Ore Deposit,Strifestone,200 Dosh,,Adept,,
Nautilus Cave,Marine Ore Deposit,,Marine Ore,Very Common,Adept,,
Nautilus Cave,Marine Ore Deposit,,Quality Minty Ore,Common,Adept,,
Nautilus Cave,Marine Ore Deposit,,Minty Ore,Uncommon,Adept,,
Nautilus Cave,Marine Ore Deposit,,Purple Stone,Rare,Adept,,
Nautilus Cave,Marine Ore Deposit,,Amethyst,Very Rare,Adept,,
Nautilus Cave,Great Marine Ore Deposit,,Marine Ore,Very Common,Adept,,
Nautilus Cave,Great Marine Ore Deposit,,Quality Minty Ore,Common,Adept,,
Nautilus Cave,Great Marine Ore Deposit,,Minty Ore,Uncommon,Adept,,
Nautilus Cave,Great Marine Ore Deposit,,Purple Stone,Rare,Adept,,
Nautilus Cave,Great Marine Ore Deposit,,Amethyst,Very Rare,Adept,,
Nautilus Cave,Superior Marine Ore Deposit,,Purple Stone,Very Common,Adept,,
Nautilus Cave,Superior Marine Ore Deposit,,Marine Ore,Common,Adept,,
Nautilus Cave,Superior Marine Ore Deposit,,Quality Minty Ore,Uncommon,Adept,,
Nautilus Cave,Superior Marine Ore Deposit,,Minty Ore,Rare,Adept,,
Nautilus Cave,Superior Marine Ore Deposit,,Amethyst,Very Rare,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,,Purple Stone,Very Common,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,,Marine Ore,Common,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,,Quality Minty Ore,Uncommon,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,,Minty Ore,Rare,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,,Amethyst,Very Rare,Adept,,
Nautilus Cave,Water Wingstone,,Marine Ore,Very Common,Adept,,
Nautilus Cave,Water Wingstone,,Water Mana +,Common,Adept,,
Nautilus Cave,Water Wingstone,,Amethyst,Rare,Adept,,
Nautilus Cave,Great Marine Ore Deposit,Blessed Rock,Tool Upgrade Stone +,10%,Adept,,
Nautilus Cave,Great Marine Ore Deposit,Blessed Rock,Attack Upgrade Stone +,10%,Adept,,
Nautilus Cave,Great Marine Ore Deposit,Blessed Rock,Def. Upgrade Stone +,80%,Adept,,
Nautilus Cave,Great Marine Ore Deposit,Blessed Rock,300 Dosh,,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,Seadrop,Purple Stone,100%,Adept,,
Nautilus Cave,Amazing Marine Ore Deposit,Seadrop,600 Dosh,,Adept,,
Nautilus Cave,Water Wingstone,Water Elemental Rock,Water Shard,90%,Adept,,
Nautilus Cave,Water Wingstone,Water Elemental Rock,Water Mana +,10%,Adept,,
Nautilus Cave,Water Wingstone,Water Elemental Rock,1000 Dosh,,Adept,,
Al Maajik Outskirts,Gold Deposit,,Al Maajik Gold,Very Common,Expert,,
Al Maajik Outskirts,Gold Deposit,,Sandstone,Common,Expert,,
Al Maajik Outskirts,Gold Deposit,,Emerald,Very Rare,Expert,,
Aridian Desert,Gold Deposit,,Al Maajik Gold,Very Common,Expert,,
Aridian Desert,Gold Deposit,,Sandstone,Common,Expert,,
Aridian Desert,Gold Deposit,,Emerald,Very Rare,Expert,,
Aridian Desert,Fire Wingstone,,Al Maajik Gold,Very Common,Expert,,
Aridian Desert,Fire Wingstone,,Fire Mana +,Common,Expert,,
Aridian Desert,Fire Wingstone,,Topaz,Rare,Expert,,
Aridian Desert,Fire Wingstone,Fire Elemental Rock,Fire Shard,90%,Expert,,
Aridian Desert,Fire Wingstone,Fire Elemental Rock,Fire Mana +,10%,Expert,,
Aridian Desert,Fire Wingstone,Fire Elemental Rock,1500 Dosh,,Expert,,
Cave of Bones,Gold Deposit,,Al Maajik Gold,Very Common,Expert,,
Cave of Bones,Gold Deposit,,Sandstone,Common,Expert,,
Cave of Bones,Gold Deposit,,Emerald,Very Rare,Expert,,
Cave of Bones,Great Gold Deposit,,Al Maajik Gold,Very Common,Expert,,
Cave of Bones,Great Gold Deposit,,Sandstone,Common,Expert,,
Cave of Bones,Great Gold Deposit,,Emerald,Very Rare,Expert,,
Cave of Bones,Superior Gold Deposit,,Sandstone,Very Common,Expert,,
Cave of Bones,Superior Gold Deposit,,Al Maajik Gold,Common,Expert,,
Cave of Bones,Superior Gold Deposit,,Emerald,Very Rare,Expert,,
Cave of Bones,Amazing Gold Deposit,,Sandstone,Very Common,Expert,,
Cave of Bones,Amazing Gold Deposit,,Al Maajik Gold,Common,Expert,,
Cave of Bones,Amazing Gold Deposit,,Emerald,Very Rare,Expert,,
Cave of Bones,Ancient Fossil,,Minty Ore,Very Common,Master,,
Cave of Bones,Ancient Fossil,,Dragon Vertebrae,Very Rare,Master,,
Cave of Bones,Ancient Fossil,,Dragon Leg Bone,Very Rare,Master,,
Cave of Bones,Ancient Fossil,,Dragon Skull,Very Rare,Master,,
Cave of Bones,Enormous Ancient Fossil,,Minty Ore,Very Common,Master,,
Cave of Bones,Enormous Ancient Fossil,,Dragon Vertebrae,Rare,Master,,
Cave of Bones,Enormous Ancient Fossil,,Dragon Leg Bone,Rare,Master,,
Cave of Bones,Enormous Ancient Fossil,,Dragon Skull,Rare,Master,,
Cave of Bones,Great Gold Deposit,Gold Stone,Magic Upgrade Stone,40%,Expert,,
Cave of Bones,Great Gold Deposit,Gold Stone,M. Def. Upgrade Stone,40%,Expert,,
Cave of Bones,Great Gold Deposit,Gold Stone,Energising Stone,20%,Expert,,
Cave of Bones,Great Gold Deposit,Gold Stone,300 Dosh,,Expert,,
Cave of Bones,Amazing Gold Deposit,Oasis Gemstone,Emerald,100%,Expert,,
Cave of Bones,Amazing Gold Deposit,Oasis Gemstone,,0%,Expert,,
Cave of Bones,Amazing Gold Deposit,Oasis Gemstone,600 Dosh,,Expert,,
Cave of Bones,Enormous Ancient Fossil,Giant Fossil,Fossil Shard,90%,Master,,
Cave of Bones,Enormous Ancient Fossil,Giant Fossil,Bone Sword,10%,Master,,
Cave of Bones,Enormous Ancient Fossil,Giant Fossil,2000 Dosh,,Master,,
Subterranean Lake,Earth Wingstone,,Quality Minty Ore,Very Common,Expert,,
Subterranean Lake,Earth Wingstone,,Earth Mana +,Common,Expert,,
Subterranean Lake,Earth Wingstone,,Emerald,Rare,Expert,,
Subterranean Lake,Earth Wingstone,Earth Elemental Rock,Earth Shard,90%,Expert,,
Subterranean Lake,Earth Wingstone,Earth Elemental Rock,Earth Mana +,10%,Expert,,
Subterranean Lake,Earth Wingstone,Earth Elemental Rock,1500 Dosh,,Expert,,
Ancient Ruins Path,Gold Deposit,,Al Maajik Gold,Very Common,Expert,,
Ancient Ruins Path,Gold Deposit,,Sandstone,Common,Expert,,
Ancient Ruins Path,Gold Deposit,,Emerald,Very Rare,Expert,,
Ancient Ruins,Magic Ore Deposit,,Magic Ore,Very Common,Master,,
Ancient Ruins,Magic Ore Deposit,,Sandstone,Common,Master,,
Ancient Ruins,Magic Ore Deposit,,Black Onyx,Very Rare,Master,,
Ancient Ruins,Great Magic Ore Deposit,,Magic Ore,Very Common,Master,,
Ancient Ruins,Great Magic Ore Deposit,,Sandstone,Common,Master,,
Ancient Ruins,Great Magic Ore Deposit,,Black Onyx,Very Rare,Master,,
Ancient Ruins,Superior Magic Ore Deposit,,Sandstone,Very Common,Master,,
Ancient Ruins,Superior Magic Ore Deposit,,Magic Ore,Common,Master,,
Ancient Ruins,Superior Magic Ore Deposit,,Black Onyx,Very Rare,Master,,
Ancient Ruins,Amazing Magic Ore Deposit,,Sandstone,Very Common,Master,,
Ancient Ruins,Amazing Magic Ore Deposit,,Magic Ore,Common,Master,,
Ancient Ruins,Amazing Magic Ore Deposit,,Black Onyx,Very Rare,Master,,
Ancient Ruins,Dark Heart,,Magic Ore,Very Common,Master,,
Ancient Ruins,Dark Heart,,Black Onyx,Rare,Master,,
Ancient Ruins,Dark Heart,Dark Heart Bounty,Evil Shard,90%,Master,,
Ancient Ruins,Dark Heart,Dark Heart Bounty,Sack of Treasure,10%,Master,,
Ancient Ruins,Dark Heart,Dark Heart Bounty,3000 Dosh,,Master,,
Ancient Ruins,Great Magic Ore Deposit,Ancient Rock,Magic Upgrade Stone +,10%,Master,,
Ancient Ruins,Great Magic Ore Deposit,Ancient Rock,M. Def. Upgrade Stone +,80%,Master,,
Ancient Ruins,Great Magic Ore Deposit,Ancient Rock,Energising Stone +,10%,Master,,
Ancient Ruins,Great Magic Ore Deposit,Ancient Rock,800 Dosh,,Master,,
Ancient Ruins,Amazing Magic Ore Deposit,Ancient Darkness,Black Onyx,100%,Master,,
Ancient Ruins,Amazing Magic Ore Deposit,Ancient Darkness,1800 Dosh,,Master,,
East Levitania,Rainbow Ore Deposit,,Celestial Ore,Very Common,Hero,,
East Levitania,Rainbow Ore Deposit,,Quality Minty Ore,Common,Hero,,
East Levitania,Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
East Levitania,Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
East Levitania,Great Rainbow Ore Deposit,,Celestial Ore,Very Common,Hero,,
East Levitania,Great Rainbow Ore Deposit,,Quality Minty Ore,Common,Hero,,
East Levitania,Great Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
East Levitania,Great Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
East Levitania,Superior Rainbow Ore Deposit,,Quality Minty Ore,Very Common,Hero,,
East Levitania,Superior Rainbow Ore Deposit,,Celestial Ore,Common,Hero,,
East Levitania,Superior Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
East Levitania,Superior Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,,Quality Minty Ore,Very Common,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,,Celestial Ore,Common,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
East Levitania,Great Rainbow Ore Deposit,Skyrock,Magic Upgrade Stone +,80%,Hero,,
East Levitania,Great Rainbow Ore Deposit,Skyrock,M. Def. Upgrade Stone +,10%,Hero,,
East Levitania,Great Rainbow Ore Deposit,Skyrock,Energising Stone +,10%,Hero,,
East Levitania,Great Rainbow Ore Deposit,Skyrock,1000 Dosh,,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,Skylight,Diamond,100%,Hero,,
East Levitania,Amazing Rainbow Ore Deposit,Skylight,2000 Dosh,,Hero,,
Central Levitania,Rainbow Ore Deposit,,Celestial Ore,Very Common,Hero,,
Central Levitania,Rainbow Ore Deposit,,Quality Minty Ore,Common,Hero,,
Central Levitania,Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
Central Levitania,Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
Central Levitania,Great Rainbow Ore Deposit,,Celestial Ore,Very Common,Hero,,
Central Levitania,Great Rainbow Ore Deposit,,Quality Minty Ore,Common,Hero,,
Central Levitania,Great Rainbow Ore Deposit,,Minty Ore,Uncommon,Hero,,
Central Levitania,Great Rainbow Ore Deposit,,Diamond,Very Rare,Hero,,
Central Grassland,Mystical Ore Deposit,,Chalk Ore,Very Common,Creator,,DLC
Central Grassland,Great Mystical Ore Deposit,,Chalk Ore,Very Common,Creator,,DLC
Central Grassland,Great Mystical Ore Deposit,,Rare Metal,Uncommon,Creator,,DLC
Central Grassland,Superior Mystical Ore Deposit,,Chalk Ore,Very Common,Creator,,DLC
Central Grassland,Superior Mystical Ore Deposit,,Rare Metal,Rare,Creator,,DLC
Central Grassland,Amazing Mystical Ore Deposit,,Chalk Ore,Very Common,Creator,,DLC
Central Grassland,Amazing Mystical Ore Deposit,,Rare Metal,Uncommon,Creator,,DLC
Central Grassland,Divine Stone,,Rare Metal,Very Common,Creator,,DLC
Central Grassland,Divine Stone,,Chalk Ore,Uncommon,Creator,,DLC
Central Grassland,Divine Stone,,Divine Stone,Very Rare,Creator,,DLC
Central Grassland,Divine Stone,Divine Stone Bounty,Divine Stone,80%,Creator,,DLC
Central Grassland,Divine Stone,Divine Stone Bounty,Prism Jewel,20%,Creator,,DLC
Central Grassland,Divine Stone,Divine Stone Bounty,4000 Dosh,,Creator,,DLC
Rocky Hill Shrine,Dark Ore Deposit,,Dark Ore,Very Common,Creator,,DLC
Rocky Hill Shrine,Great Dark Ore Deposit,,Dark Ore,Very Common,Creator,,DLC
Rocky Hill Shrine,Great Dark Ore Deposit,,Rare Metal,Uncommon,Creator,,DLC
Rocky Hill Shrine,Superior Mystical Ore Deposit,,Dark Ore,Very Common,Creator,,DLC
Rocky Hill Shrine,Superior Mystical Ore Deposit,,Rare Metal,Rare,Creator,,DLC
Rocky Hill Shrine,Amazing Mystical Ore Deposit,,Dark Ore,Very Common,Creator,,DLC
Rocky Hill Shrine,Amazing Mystical Ore Deposit,,Rare Metal,Uncommon,Creator,,DLC
Rocky Hill Shrine,Dark Stone,,Rare Metal,Very Common,Creator,,DLC
Rocky Hill Shrine,Dark Stone,,Dark Ore,Uncommon,Creator,,DLC
Rocky Hill Shrine,Dark Stone,,Dark Stone,Very Rare,Creator,,DLC
Rocky Hill Shrine,Dark Stone,Dark Stone Bounty,Dark Stone,80%,Creator,,DLC
Rocky Hill Shrine,Dark Stone,Dark Stone Bounty,Ancient Orb,20%,Creator,,DLC
Rocky Hill Shrine,Dark Stone,Dark Stone Bounty,3000 Dosh,,Creator,,DLC
