Region,Source,Item,Special Request,DLC,Notes
Farley's Plantation,Red Flower,Redbell,,,
Farley's Plantation,Foxtail Grass,Dandelion Puff,,,
Farley's Plantation,White Flower Bunch,Running Flower,,,
Farley's Plantation,White Flower Bunch,Lucky Flower,,,
Farley's Plantation,White Flower Bunch,Energising Flower,,,
Farley's Plantation,Egg,Eggs,,,
Farley's Plantation,Apple Tree,Castele Apple,,,
Farley's Plantation,Apple Tree,Rainbow Apple,,,
Farley's Plantation,Green Sprout,Potato,,,
Farley's Plantation,Green Sprout,Carrot,,,
Farley's Plantation,Green Sprout,Onion,,,
Farley's Plantation,Green Sprout,Cabbage,,,
Farley's Plantation,Green Sprout,Daikon Radish,,,
Mt Snowpeak,Mushroom,Mountain Mushroom,,,
Mt Snowpeak,Green Sprout,Lifeweed,,,
Mt Snowpeak,Beehive Tree,Plateau Honey,,,
Mt Snowpeak Summit,White Flower,Whitebell,,,
Mt Snowpeak Summit,Sparkly Spot,Mountain Spring Water,,,
Mt Snowpeak Summit,Sparkly Spot,Dream Shard,Carpenter,DLC,
Napdragon's Nest,Sparkly Spot,Cave Strawberries,,,
Port Puerto Beach District,Blue Flower,Bluebell,,,
Port Puerto Beach District,Yellow Flower,Port Puerto Bloom,,,
Port Puerto Beach District,Foxtail Grass,Sunny Puff,,,
Port Puerto Beach District,White Flower Bunch,Running Flower,,,
Port Puerto Beach District,White Flower Bunch,Lucky Flower,,,
Port Puerto Beach District,White Flower Bunch,Energising Flower,,,
Port Puerto Beach District,Orange Tree,Port Town Orange,,,
Port Puerto Beach District,Egg,Royal Eggs,,,
Port Puerto Beach District,Green Sprout,Healweed,,,
Port Puerto Beach District,Green Sprout,Cureweed,,,
Port Puerto Beach District,Seashell,Little Shell,,,
Port Puerto Beach District,Seashell,Durable Shell,,,
Port Puerto Beach District,Beetle,Rhino Beetle,,,
Port Puerto Beach District,Beetle,Scarab Beetle,,,
Port Puerto Beach District,Beetle,Iron Stag Beetle,,,
Tortuga Archipelago,Blue Flower,Bluebell,,,
Tortuga Archipelago,Green Sprout,Healweed,,,
Tortuga Archipelago,Green Sprout,Cureweed,,,
Tortuga Archipelago,Seashell,Little Shell,,,
Tortuga Archipelago,Seashell,Durable Shell,,,
Tortuga Archipelago,Orange Tree,Port Town Orange,,,
Tortuga Archipelago,Campfire,Campfire Fish,,,
Tortuga Archipelago,Large Egg,Blizzard Egg,,,
Nautilus Cave,Seashell,Little Shell,,,
Nautilus Cave,Seashell,Durable Shell,,,
Nautilus Cave,Seashell,Rainbow Shell,,,
Nautilus Cave,Seashell,Ghost Shell,Cook,DLC,
Nautilus Cave,Sparkly Spot,Little Shell,,,
Nautilus Cave,Sparkly Spot,Durable Shell,,,
Nautilus Cave,Sparkly Spot,Suspicious Object,,,
Nautilus Cave,Sparkly Spot,Palm Beam,,,
Deepsea Cave,Seashell,Little Shell,,,
Deepsea Cave,Seashell,Durable Shell,,,
Deepsea Cave,Mushroom,Cave Mushroom,,,
Deepsea Cave,Sparkly Spot,Saltless Seawater,,,
Al Maajik Outskirts,Yellow Flower,Yellowbell,,,
Al Maajik Outskirts,Yellow Flower,Al Maajik Bloom,,,
Al Maajik Outskirts,Foxtail Grass,Sunny Puff,,,
Al Maajik Outskirts,Pear Tree,Desert Pear,,,
Al Maajik Outskirts,Sparkly Spot,Sweet Potato,,,
Al Maajik Outskirts,Weed,Vitalweed,,,
Al Maajik Outskirts,Beetle,Second Best Beetle,,,
Al Maajik Outskirts,Beetle,Steel Stag Beetle,,,
Al Maajik Outskirts,Beetle,Scarab Beetle,,,
Aridian Desert,Weed,Lifeweed,,,
Aridian Desert,Weed,Healweed,,,
Aridian Desert,Yellow Flower,Yellowbell,,,
Aridian Desert,Sparkly Spot,Life Cure,,,
Aridian Desert,Sparkly Spot,Sack of Copper,,,
Aridian Desert,Campfire,Super Campfire Roast,,,
Aridian Desert,Large Egg,Thunder Egg,,,
Subterranean Lake,Weed,Lifeweed,,,
Subterranean Lake,Weed,Arch Alcheweed,,,
Subterranean Lake,Mushroom,Cave Mushroom,,,
Subterranean Lake,Sparkly Spot,Sorcery Powder,Alchemist,DLC,
Cacto Cove,Green Sprout,Soulweed,,,
Cacto Cove,Foxtail Grass,Angelic Puff,,,
Cacto Cove,Pink Flower,Marriage Rose,,,
Cacto Cove,Seashell,Little Shell,,,
Cacto Cove,Seashell,Rainbow Shell,,,
Cacto Cove,Beehive Tree,Island Honey,,,
Cacto Cove,Dragonfly,Dragonfly,,,
Cacto Cove,Campfire,Super Campfire Fish,,,
Deep Elderwood,Green Sprout,Cureweed,,,
Deep Elderwood,Green Sprout,Healweed,,,
Deep Elderwood,Green Sprout,Soulweed,,,
Deep Elderwood,Purple Flower,Blackbell,,,
Deep Elderwood,Mushroom,Truffle,,,
Deep Elderwood,Mushroom,Duffle,,,
Deep Elderwood Grotto,Mushroom,Cave Mushroom,,,
Elderwood Village,White Flower,Whitebell,,,
Elderwood Village,Purple Flower,Blackbell,,,
Elderwood Village,White Flower Bunch,Running Flower,,,
Elderwood Village,White Flower Bunch,Energising Flower,,,
Plushling Camp,Campfire,Super Campfire Fish,,,
East Levitania,Green Sprout,Legendweed,,,
East Levitania,Green Sprout,Wasabi,,,
East Levitania,White Flower,Whitebell,,,
East Levitania,Purple Flower,Blackbell,,,
East Levitania,Yellow Flower,Happy Daisy,,,
East Levitania,Butterfly,Stained Glass Butterfly,,,
East Levitania,Blue Flower,Flower Buttons,Tailor,DLC,
Central Levitania,Green Sprout,Legendweed,,,
Central Levitania,White Flower,Whitebell,,,
Central Levitania,Purple Flower,Blackbell,,,
Central Levitania,Beetle,Champion Beetle,,,
Central Levitania,Peach Tree,Heavenly Peach,,,
West Levitania,Green Sprout,Legendweed,,,
West Levitania,White Flower,Whitebell,,,
West Levitania,Purple Flower,Blackbell,,,
West Levitania,Butterfly,Stained Glass Butterfly,,,
Central Grassland,Gold Sprout,Goldweed,,DLC,
Central Grassland,Seashell,Rainbow Shell,,DLC,
Central Grassland,Pink Flower,Cherrybell,,DLC,
Central Grassland,Pink Flower,Cherry Nectar,,DLC,
Central Grassland,Red Flower,Ancient Flower,,DLC,
Central Grassland,Red Flower,Ancient Nectar,,DLC,
Central Grassland,White Flower Bunch,Divine Puff,,DLC,
Central Grassland,Butterfly,Angelic Butterfly,,DLC,
Central Grassland,Grasshopper,Demonic Grasshopper,,DLC,
Central Grassland,Nut Tree,Marshmallow Nuts,,DLC,
Central Grassland,Nut Tree,Centurial Nuts,,DLC,
Central Grassland,Sparkly Spot,Gigaga Water,,DLC,
Central Grassland,Sparkly Spot,Criticaline,,DLC,
Forest Shrine,Pink Flower,Cherrybell,,DLC,
Forest Shrine,Pink Flower,Cherry Nectar,,DLC,
Forest Shrine,White Flower Bunch,Divine Puff,,DLC,
Forest Shrine,Butterfly,Angelic Butterfly,,DLC,
Forest Shrine,Campfire,Campfire Roast,,DLC,
Penguin Beach,Gold Sprout,Goldweed,,DLC,
Penguin Beach,White Flower Bunch,Divine Puff,,DLC,
Penguin Beach,Pink Flower,Cherrybell,,DLC,
Penguin Beach,Pink Flower,Cherry Nectar,,DLC,
Penguin Beach,Seashell,Rainbow Shell,,DLC,
Penguin Beach,Seashell,Ancient Seashell,,DLC,
Penguin Beach,Egg,Penguin Eggs,,DLC,
Penguin Beach,Large Egg,Golden Egg,,DLC,
Penguin Beach,Sparkly Spot,Gigaga Water,,DLC,
Rocky Hill Shrine,White Flower Bunch,Divine Puff,,DLC,
Rocky Hill Shrine,Red Flower,Ancient Flower,,DLC,
Rocky Hill Shrine,Red Flower,Ancient Nectar,,DLC,
Rocky Hill Shrine,Mushroom,Fossil Mushroom,,DLC,
Rocky Hill Shrine,Mushroom,Gigaga Truffle,,DLC,
Trial of Time,Sparkly Spot,Goddess's Bead,,DLC,Sparkly spot found in the central pool of water on floor 1.
Trial of Time,Apple Tree,Golden Apple,,DLC,
Trial of Darkness,Sparkly Spot,Goddess's Bead,,DLC,Sparkly spot found in the central pool of water on floor 1.
Trial of Darkness,Apple Tree,Galaxy Apple,,DLC,
Trial of Light,Sparkly Spot,Goddess's Bead,,DLC,Sparkly spot found in the central pool of water on floor 1. You will need to beat the Lightning Wraith & Rainbow Wraith to open the door to the pool first.
Trial of Light,Apple Tree,Golden Apple,,DLC,
Trial of Light,Apple Tree,Galaxy Apple,,DLC,
