Region,Source,Bounty,Item,Rarity,Tags,Special Request,DLC,Notes
Waterfall Cave,Armoured Croc,,Big Tail,30%,,,,
Waterfall Cave,Pitchfork Piranha,,Fish Scales,30%,,,,
Waterfall Cave,Mountain Jelling,,Green Gel,30%,,,,
Waterfall Cave,Feely Catterpillo,,Silk Thread,30%,,,,
Waterfall Cave,Cave Bat,,,,,,,
Waterfall Cave,Iron Golem,,Plains Iron,30%,,,,
Waterfall Cave,Iron Golem,,Aquamarine,10%,,,,
Waterfall Cave,Iron Golem,,Wind Shard,10%,,,,
Waterfall Cave,Iron Golem,Iron Golem Bounty,Plains Iron,95%,,,,
Waterfall Cave,Iron Golem,Iron Golem Bounty,Iron Pickaxe,5%,,,,
Waterfall Cave,Iron Golem,Iron Golem Bounty,800 Dosh,,,,,
Lava Cave,Lava Weedling,,Combustible Powder,30%,,,,
Lava Cave,Mushflame,,Cave Mushroom,30%,,,,
Lava Cave,Lava Catterpillo,,,,,,,
Lava Cave,Spirit of Fire,,Attack Upgrade Stone,15%,,,,
Lava Cave,Spirit of Fire,,Fire Mana,5%,,,,
Lava Cave,Blaze Wraith,,Giant Fang,30%,,,,
Lava Cave,Lava Golem,,Magma Ore,30%,,,,
Lava Cave,Lava Golem,,Ruby,10%,,,,
Lava Cave,Lava Golem,,Dragon Shard,10%,,,,
Lava Cave,Fortoise,,Fortified Shell,30%,,Miner,DLC,
Lava Cave,Blaze Wraith,Blaze Wraith Bounty,Giant Fang,90%,,,,
Lava Cave,Blaze Wraith,Blaze Wraith Bounty,Flame Robe,10%,,,,
Lava Cave,Blaze Wraith,Blaze Wraith Bounty,3600 Dosh,,,,,
Lava Cave,Lava Golem,Lava Golem Bounty,Magma Ore,95%,,,,
Lava Cave,Lava Golem,Lava Golem Bounty,Lava Pickaxe,5%,,,,
Lava Cave,Lava Golem,Lava Golem Bounty,1000 Dosh,,,,,
Mt Snowpeak Summit,Silverwing,,Big Egg,30%,,,,
Mt Snowpeak Summit,Ice Spook,,Sapphire,30%,,,,
Mt Snowpeak Summit,Silverfang,,Dino Meat,20%,,,,
Mt Snowpeak Summit,Silverfang,,Giant Horn,10%,,,,
Mt Snowpeak Summit,Snow Leopard,,Deadly Claws,30%,,,,
Mt Snowpeak Summit,Snow Leopard,,Sturdy Fang,20%,,,,
Mt Snowpeak Summit,Iced Jellyfish,,,,,,,
Mt Snowpeak Summit,Glaciowl,,Glossy Feather,30%,,,,
Mt Snowpeak Summit,Glaciowl,,Moon Cluster,15%,,,,
Mt Snowpeak Summit,Snowflake Bunny,,Monster Dung,30%,,,,
Mt Snowpeak Summit,Snow Runner,,Magic Eggs,30%,,,,
Mt Snowpeak Summit,Spinning Horn,,Wild Antler,100%,,Carpenter,DLC,
Mt Snowpeak Summit,Gift-Wrapped Mimic,,Happiness Ribbon,10%,,Carpenter,DLC,
Mt Snowpeak Summit,Ice Spook,Ice Spook Bounty,Sapphire,90%,,,,
Mt Snowpeak Summit,Ice Spook,Ice Spook Bounty,Mooncrest Staff,10%,,,,
Mt Snowpeak Summit,Ice Spook,Ice Spook Bounty,750 Dosh,,,,,
Mt Snowpeak Summit,Silverfang,Silverfang Bounty,Giant Horn,95%,,,,
Mt Snowpeak Summit,Silverfang,Silverfang Bounty,Crystal Sword,5%,,,,
Mt Snowpeak Summit,Silverfang,Silverfang Bounty,3000 Dosh,,,,,
Napdragon's Nest,Fairy Dragon,,Cave Strawberries,30%,,,,
Napdragon's Nest,Fairy Dragon,,Star Cluster,20%,,,,
Tortuga Archipelago,Green Gator,,Big Tail,30%,,,,
Tortuga Archipelago,Croc,,Beast Tail,30%,,,,
Tortuga Archipelago,Turtortle,,Thick Shell,30%,,,,
Tortuga Archipelago,Turtanic,,Vivid Coral,20%,,,,
Tortuga Archipelago,Turtanic,,Moon Cluster,20%,,,,
Tortuga Archipelago,Turtanic,,Ancient Shell,15%,,,,
Tortuga Archipelago,Toothy Piranha,,Fish Scales,30%,,,,
Tortuga Archipelago,Chop-chop Piranha,,Fish Scales,30%,,,,
Tortuga Archipelago,Octoshell,,Little Shell,30%,,,,
Tortuga Archipelago,Octoshell,,Pretty Coral,20%,,,,
Tortuga Archipelago,Bitey Shark,,,,,,,
Tortuga Archipelago,Island Shark,,,,Uncommon Spawn,,,
Tortuga Archipelago,Punching Palm,,Palm Nuts,20%,,,,
Tortuga Archipelago,Zombie Pirate,,Saltless Seawater,30%,,,,
Tortuga Archipelago,Zombie Pirate,,Sack of Copper,20%,,,,
Tortuga Archipelago,Spirit of Water,,Def. Upgrade Stone,15%,,,,
Tortuga Archipelago,Spirit of Water,,Water Mana,5%,,,,
Tortuga Archipelago,Angry Zombie,,Saltless Seawater,30%,,,,
Tortuga Archipelago,Angry Zombie,,Sack of Silver,20%,,,,
Tortuga Archipelago,Blizzard Bird,,Giant Claws,30%,,,,
Tortuga Archipelago,Blizzard Bird,,Frosty Feather,20%,,,,
Tortuga Archipelago,Blizzard Bird,,Blizzard Egg,10%,,,,
Tortuga Archipelago,Electro Jellyfish,,Moon Cluster,30%,Night Only,,,
Tortuga Archipelago,Typhoon Bird,,Giant Claws,30%,,Hunter,DLC,
Tortuga Archipelago,Angry Zombie,Angry Zombie Bounty,Saltless Seawater,45%,,,,
Tortuga Archipelago,Angry Zombie,Angry Zombie Bounty,Sack of Silver,45%,,,,
Tortuga Archipelago,Angry Zombie,Angry Zombie Bounty,Silver Claymore,10%,,,,
Tortuga Archipelago,Angry Zombie,Angry Zombie Bounty,750 Dosh,,,,,
Tortuga Archipelago,Turtanic,Turtanic Bounty,Ancient Shell,45%,,,,
Tortuga Archipelago,Turtanic,Turtanic Bounty,Vivid Coral,45%,,,,
Tortuga Archipelago,Turtanic,Turtanic Bounty,Whirlpool Rod,10%,,,,
Tortuga Archipelago,Turtanic,Turtanic Bounty,1800 Dosh,,,,,
Tortuga Archipelago,Blizzard Bird,Blizzard Bird Bounty,Giant Claws,45%,,,,
Tortuga Archipelago,Blizzard Bird,Blizzard Bird Bounty,Frosty Feather,50%,,,,
Tortuga Archipelago,Blizzard Bird,Blizzard Bird Bounty,Industry Needle,5%,,,,
Tortuga Archipelago,Blizzard Bird,Blizzard Bird Bounty,3300 Dosh,,,,,
Tortuga Archipelago,Typhoon Bird,Wicked Bird Feather,0,None%,,Hunter,DLC,
Tortuga Archipelago,Typhoon Bird,Wicked Bird Feather,100,None%,,Hunter,DLC,
Tortuga Archipelago,Typhoon Bird,Wicked Bird Feather,35000 Dosh,,,Hunter,DLC,
Nautilus Cave,Black Octoshell,,Rainbow Shell,30%,,,,
Nautilus Cave,Black Octoshell,,Glittering Coral,20%,,,,
Nautilus Cave,Octoshell Knight,,Durable Shell,30%,,,,
Nautilus Cave,Octoshell Knight,,Stunning Coral,20%,,,,
Nautilus Cave,Cave Catterpillo,,Marine Thread,30%,,,,
Nautilus Cave,Dark Bat,,,,,,,
Nautilus Cave,Crocturtle,,Timeworn Shell,30%,,,,
Nautilus Cave,Pickaxed Golem,,Bronze Pickaxe,50%,,,,
Nautilus Cave,Pickaxed Golem,,Iron Pickaxe,20%,,,,
Nautilus Cave,Pickaxed Golem,,Silver Pickaxe,10%,,,,
Nautilus Cave,Pickaxed Golem,,Water Shard,10%,,,,
Nautilus Cave,Rocksalt Golem,,Port Puerto Silver,30%,,,,
Nautilus Cave,Rocksalt Golem,,Amethyst,5%,,,,
Nautilus Cave,Undead Deckhand,,Rejuvenating Berries,30%,,Cook,DLC,
Nautilus Cave,Undead Captain,,Ghost Meat,100%,,Cook,DLC,
Nautilus Cave,Rowdy Zombie,,Saltless Seawater,30%,,Cook,DLC,
Nautilus Cave,Rowdy Zombie,,Sack of Gold,20%,,,,
Nautilus Cave,Rowdy Zombie,,Horror String,10%,,,,
Nautilus Cave,Crocturtle,Crocturtle Bounty,Timeworn Shell,90%,,,,
Nautilus Cave,Crocturtle,Crocturtle Bounty,Silver Shield,10%,,,,
Nautilus Cave,Crocturtle,Crocturtle Bounty,750 Dosh,,,,,
Nautilus Cave,Pickaxed Golem,Pickaxed Golem Bounty,Bronze Pickaxe,60%,,,,
Nautilus Cave,Pickaxed Golem,Pickaxed Golem Bounty,Iron Pickaxe,35%,,,,
Nautilus Cave,Pickaxed Golem,Pickaxed Golem Bounty,Silver Pickaxe,5%,,,,
Nautilus Cave,Pickaxed Golem,Pickaxed Golem Bounty,1200 Dosh,,,,,
Nautilus Cave,Rocksalt Golem,Rocksalt Golem Bounty,Port Puerto Silver,95%,,,,
Nautilus Cave,Rocksalt Golem,Rocksalt Golem Bounty,Salt,5%,,,,
Nautilus Cave,Rocksalt Golem,Rocksalt Golem Bounty,1100 Dosh,,,,,
Deepsea Cave,Spiked Jellyfish,,,,,,,
Deepsea Cave,Jelling,,Blue Gel,30%,,,,
Deepsea Cave,Great Serpent,,Snake Scales,30%,,,,
Deepsea Cave,Jellking,,King Gel,30%,,,,
Deepsea Cave,Sea Wraith,,Giant Fang,30%,,,,
Deepsea Cave,Wicked Jaws,,Saltless Seawater,30%,,Angler,DLC,
Deepsea Cave,Wicked Jaws,,Demon Shark Fin,10%,,,,
Deepsea Cave,Great Serpent,Great Serpent Bounty,Snake Scales,90%,,,,
Deepsea Cave,Great Serpent,Great Serpent Bounty,Azure Rose,10%,,,,
Deepsea Cave,Great Serpent,Great Serpent Bounty,1200 Dosh,,,,,
Deepsea Cave,Jellking,Jellking Bounty,King Gel,90%,,,,
Deepsea Cave,Jellking,Jellking Bounty,Rose Shield,10%,,,,
Deepsea Cave,Jellking,Jellking Bounty,1600 Dosh,,,,,
Deepsea Cave,Sea Wraith,Sea Wraith Bounty,Giant Fang,90%,,,,
Deepsea Cave,Sea Wraith,Sea Wraith Bounty,Aqua Robe,10%,,,,
Deepsea Cave,Sea Wraith,Sea Wraith Bounty,4500 Dosh,,,,,
Desertward Ravine,Jackal,,Beast Hide,30%,,,,
Desertward Ravine,Gemzard,,Emerald,30%,Uncommon Spawn,,,
Desertward Ravine,Gemzard,,Little Tail,20%,Uncommon Spawn,,,
Desertward Ravine,Killer Horn,,Black Goat Fleece,30%,,,,
Desertward Ravine,Killer Horn,,Golden Sheep Fleece,15%,,,,
Desertward Ravine,Killer Horn,Killer Horn Bounty,Black Goat Fleece,45%,,,,
Desertward Ravine,Killer Horn,Killer Horn Bounty,Golden Sheep Fleece,45%,,,,
Desertward Ravine,Killer Horn,Killer Horn Bounty,Gold Claymore,10%,,,,
Desertward Ravine,Killer Horn,Killer Horn Bounty,1200 Dosh,,,,,
Aridian Desert,Angry Cacto,,Sugar Nuts,30%,,,,
Aridian Desert,Angry Cacto,,Green Cactus,20%,,,,
Aridian Desert,Killer Bee,,Sugar Nuts,30%,,,,
Aridian Desert,Outlaw,,Sack of Copper,30%,,,,
Aridian Desert,Outlaw Leader,,Sack of Silver,30%,,,,
Aridian Desert,Burly Gorilla,,,,,,,
Aridian Desert,Armourdillo,,,,,,,
Aridian Desert,Pterodactyl,,Sharp Claws,30%,,,,
Aridian Desert,Pterodactyl,,Big Egg,20%,,,,
Aridian Desert,Spearhead Piranha,,Fish Scales,30%,,,,
Aridian Desert,Sandshark,,,,,,,
Aridian Desert,Sand Spider,,Flax Thread,30%,,,,
Aridian Desert,Sand Runner,,Royal Eggs,30%,,,,
Aridian Desert,Sand Runner,,Fire Shard,3%,,,,
Aridian Desert,Spirit of Wind,,Qualitine,15%,,,,
Aridian Desert,Spirit of Wind,,Wind Mana,5%,,,,
Aridian Desert,Gale Wraith,,Giant Fang,30%,Day Only,,,
Aridian Desert,Sand Golem,,Al Maajik Gold,30%,,,,
Aridian Desert,Sand Golem,,Sun Cluster,15%,,,,
Aridian Desert,Thunderbird,,Giant Claws,30%,,,,
Aridian Desert,Thunderbird,,Lightning Feather,20%,,,,
Aridian Desert,Thunderbird,,Thunder Egg,10%,,,,
Aridian Desert,Lord of the Dead,,Giant Horn,30%,Night Only,,,
Aridian Desert,Lord of the Dead,,Evil Shard,5%,Night Only,,,
Aridian Desert,Lord of the Cursed,,Giant Horn,30%,Night Only,Mercenary,DLC,
Aridian Desert,Lord of the Cursed,,Dino Meat,20%,Night Only,Mercenary,DLC,
Aridian Desert,Killer Bee,Killer Bee Bounty,Sugar Nuts,90%,,,,
Aridian Desert,Killer Bee,Killer Bee Bounty,Hornet Needle,10%,,,,
Aridian Desert,Killer Bee,Killer Bee Bounty,900 Dosh,,,,,
Aridian Desert,Outlaw Leader,Outlaw Leader Bounty,Sack of Silver,60%,,,,
Aridian Desert,Outlaw Leader,Outlaw Leader Bounty,Toy Camel,40%,,,,
Aridian Desert,Outlaw Leader,Outlaw Leader Bounty,800 Dosh,,,,,
Aridian Desert,Sand Golem,Sand Golem Bounty,Al Maajik Gold,90%,,,,
Aridian Desert,Sand Golem,Sand Golem Bounty,Gold Pickaxe,10%,,,,
Aridian Desert,Sand Golem,Sand Golem Bounty,1500 Dosh,,,,,
Aridian Desert,Gale Wraith,Gale Wraith Bounty,Giant Fang,90%,,,,
Aridian Desert,Gale Wraith,Gale Wraith Bounty,Wind Robe,10%,Day Only,,,
Aridian Desert,Gale Wraith,Gale Wraith Bounty,4200 Dosh,,Day Only,,,
Aridian Desert,Thunderbird,Thunderbird Bounty,Giant Claws,45%,,,,
Aridian Desert,Thunderbird,Thunderbird Bounty,Lightning Feather,45%,,,,
Aridian Desert,Thunderbird,Thunderbird Bounty,Bolt Flask,10%,,,,
Aridian Desert,Thunderbird,Thunderbird Bounty,3900 Dosh,,,,,
Aridian Desert,Lord of the Dead,Lord of the Dead Bounty,Giant Horn,95%,Night Only,,,
Aridian Desert,Lord of the Dead,Lord of the Dead Bounty,Demonic Void,5%,Night Only,,,
Aridian Desert,Lord of the Dead,Lord of the Dead Bounty,8000 Dosh,,Night Only,,,
Aridian Desert,Lord of the Cursed,Lord of the Cursed Bounty,Bone Dragon Horn,100%,Night Only,Mercenary,DLC,
Aridian Desert,Lord of the Cursed,Lord of the Cursed Bounty,40000 Dosh,,Night Only,Mercenary,DLC,
Cave of Bones,Skeleton,,Sack of Gold,15%,,,,
Cave of Bones,Skeleton,,Fossil Shard,5%,,,,
Cave of Bones,Gem Beetle Baller,,,,,,,
Cave of Bones,Hootlum,,Coal-Black Feather,30%,,,,
Subterranean Lake,Crimson Frog,,,,,,,
Subterranean Lake,Saw Shark,,,,,,,
Subterranean Lake,Toxic Jelling,,Purple Gel,30%,,,,
Subterranean Lake,Arachne,,Pink Silk Thread,30%,,,,
Subterranean Lake,Arachne,,Earth Shard,5%,,,,
Subterranean Lake,Ironstone Golem,,Al Maajik Gold,30%,,,,
Subterranean Lake,Ironstone Golem,,Sun Cluster,15%,,,,
Subterranean Lake,Nightmare Bat,,,,,,,
Subterranean Lake,Behemoth,,Giant Tail,30%,,,,
Subterranean Lake,Behemoth,,Monster Meat,20%,,,,
Subterranean Lake,Enchanted Golem,,Sorcery Orb,100%,,Alchemist,DLC,
Subterranean Lake,Ironstone Golem,Ironstone Golem Bounty,Al Maajik Gold,95%,,,,
Subterranean Lake,Ironstone Golem,Ironstone Golem Bounty,Mole Pickaxe,5%,,,,
Subterranean Lake,Ironstone Golem,Ironstone Golem Bounty,1800 Dosh,,,,,
Subterranean Lake,Behemoth,Behemoth Bounty,Giant Tail,95%,,,,
Subterranean Lake,Behemoth,Behemoth Bounty,Rockcrusher Hammer,5%,,,,
Subterranean Lake,Behemoth,Behemoth Bounty,5000 Dosh,,,,,
Ancient Ruins Path,Desert Spook,,Demonic Powder,30%,,,,
Ancient Ruins Path,Desert Tyrant,,Dino Meat,20%,,,,
Ancient Ruins Path,Desert Tyrant,,Giant Horn,10%,,,,
Ancient Ruins Path,Desert Spook,Desert Spook Bounty,Demonic Powder,90%,,,,
Ancient Ruins Path,Desert Spook,Desert Spook Bounty,Star Staff,10%,,,,
Ancient Ruins Path,Desert Spook,Desert Spook Bounty,1300 Dosh,,,,,
Ancient Ruins Path,Desert Tyrant,Desert Tyrant Bounty,Giant Horn,95%,,,,
Ancient Ruins Path,Desert Tyrant,Desert Tyrant Bounty,Arcana Blade,5%,,,,
Ancient Ruins Path,Desert Tyrant,Desert Tyrant Bounty,4500 Dosh,,,,,
Ancient Ruins,Batmon,,Suspicious Object,30%,,,,
Ancient Ruins,Chiromon,,Mysterious Object,30%,,,,
Ancient Ruins,Mummy,,Sack of Treasure,5%,,,,
Ancient Ruins,King Cobra,,Snake Scales,30%,,,,
Ancient Ruins,King Cobra,,Sack of Treasure,5%,,,,
Ancient Ruins,Desert Jelling,,Yellow Gel,30%,,,,
Ancient Ruins,Metal Jelling,,Black Gel,30%,Uncommon Spawn,,,
Ancient Ruins,Mimic,,Guardine,30%,,,,
Ancient Ruins,Wicked Box,,Focus Gem,30%,,,,
Ancient Ruins,Wicked Box,,Black Onyx,5%,,,,
Ancient Ruins,Moth Queen,,Criticaline,30%,,,,
Ancient Ruins,Flame Moth,,,,,,,
Ancient Ruins,Dark Spider,,,,,,,
Ancient Ruins,Vampire Bat,,Evil Wings,30%,,,,
Ancient Ruins,Killer Cacto,,Yellow Cactus,30%,,,,
Ancient Ruins,Gilded Golem,,Sack of Gold,50%,,,,
Ancient Ruins,Gilded Golem,,Sun Cluster,15%,,,,
Ancient Ruins,Big Spook,,Spiritual Powder,30%,,,,
Ancient Ruins,Calamitus,,Giant Fang,30%,,,,
Ancient Ruins,Calamitus,,Shadow Mana,5%,,,,
Ancient Ruins,Gigante,,Giant Tail,30%,,,,
Ancient Ruins,Gigante,,Monster Meat,20%,,,,
Ancient Ruins,Dragon Hatchling,,Star Cluster,20%,,,,
Ancient Ruins,Golden Dragon,,Giant Scale,30%,,,,
Ancient Ruins,Golden Dragon,,Dragon Meat,20%,,,,
Ancient Ruins,Big Spook,Big Spook Bounty,Spiritual Powder,90%,,,,
Ancient Ruins,Big Spook,Big Spook Bounty,Magic Mittens,10%,,,,
Ancient Ruins,Big Spook,Big Spook Bounty,2000 Dosh,,,,,
Ancient Ruins,King Cobra,King Cobra Bounty,Snake Scales,90%,,,,
Ancient Ruins,King Cobra,King Cobra Bounty,Maharaja Turban,10%,,,,
Ancient Ruins,King Cobra,King Cobra Bounty,1800 Dosh,,,,,
Ancient Ruins,Moth Queen,Moth Queen Bounty,Magic Powder,90%,,,,
Ancient Ruins,Moth Queen,Moth Queen Bounty,Magic Shoes,10%,,,,
Ancient Ruins,Moth Queen,Moth Queen Bounty,1900 Dosh,,,,,
Ancient Ruins,Gilded Golem,Gilded Golem Bounty,Sack of Gold,90%,,,,
Ancient Ruins,Gilded Golem,Gilded Golem Bounty,Ancient Pickaxe,10%,,,,
Ancient Ruins,Gilded Golem,Gilded Golem Bounty,2100 Dosh,,,,,
Ancient Ruins,Calamitus,Calamitus Bounty,Giant Fang,45%,,,,
Ancient Ruins,Calamitus,Calamitus Bounty,Shadow Mana,50%,,,,
Ancient Ruins,Calamitus,Calamitus Bounty,Bat Wing Staff,5%,,,,
