Life,Rank,Group,Item,High Level
Alchemist,Demi-Creator,Accessory,Fluffkin Fuzzband,
Alchemist,Creator,Accessory,Destiny Charm,true
Alchemist,Creator,Accessory,Demonic Necklace,true
Alchemist,Creator,Accessory,Celestial Ring,true
Alchemist,Creator,Accessory,Double-Edged Stone,true
Alchemist,Creator,Accessory,Monarch's Stone,true
Alchemist,Creator,Accessory,Djinn Talisman,true
Alchemist,Creator,Accessory,Tsunami Talisman,true
Blacksmith,Fledgling,Material,Bronze Ingot,
Blacksmith,Apprentice,Material,Iron Ingot,
Blacksmith,Adept,Material,Silver Ingot,
Blacksmith,Expert,Material,Gold Ingot,
Blacksmith,Expert,Material,Platinum Ingot,
Blacksmith,Master,Material,Magma Ingot,
Blacksmith,Master,Material,Marine Ingot,
Blacksmith,Master,Material,Magic Ingot,
Blacksmith,Hero,Material,Celestial Ingot,
Blacksmith,Demi-Creator,Material,Ancient Ingot,
Blacksmith,Demi-Creator,Material,Demonic Ingot,
Blacksmith,Fledgling,Weapon,Bronze Dagger,
Blacksmith,Fledgling,Weapon,Bronze Sword,
Blacksmith,Fledgling,Weapon,Bronze Claymore,
Blacksmith,Apprentice,Weapon,Iron Dagger,
Blacksmith,Apprentice,Weapon,Iron Sword,
Blacksmith,Apprentice,Weapon,Iron Claymore,
Blacksmith,Adept,Weapon,Silver Dagger,
Blacksmith,Adept,Weapon,Silver Sword,
Blacksmith,Adept,Weapon,Silver Claymore,
Blacksmith,Expert,Weapon,Gold Dagger,
Blacksmith,Expert,Weapon,Gold Sword,
Blacksmith,Expert,Weapon,Gold Claymore,
Blacksmith,Expert,Weapon,Rogue's Dagger,true
Blacksmith,Expert,Weapon,Captain's Sword,true
Blacksmith,Expert,Weapon,Azure Rose,true
Blacksmith,Expert,Weapon,Bone Sword,true
Blacksmith,Expert,Weapon,Key Cutter,true
Blacksmith,Master,Weapon,Maajik Blade,true
Blacksmith,Master,Weapon,Flamberge,true
Blacksmith,Master,Weapon,Arcana Blade,true
Blacksmith,Master,Weapon,Crystal Sword,true
Blacksmith,Master,Weapon,Paladin's Sword,true
Blacksmith,Master,Weapon,Demonic Void,true
Blacksmith,Hero,Weapon,Joyeuse,true
Blacksmith,Demi-Creator,Weapon,Ancient Dagger,
Blacksmith,Demi-Creator,Weapon,Relic Sword,
Blacksmith,Demi-Creator,Weapon,Champion's Blade,
Blacksmith,Demi-Creator,Weapon,Dungeon Truncheon,
Blacksmith,Demi-Creator,Weapon,Demonic Dagger,true
Blacksmith,Demi-Creator,Weapon,Blossom Blade,true
Blacksmith,Demi-Creator,Weapon,Rune Sword,true
Blacksmith,Demi-Creator,Weapon,Crabtastrophe,true
Blacksmith,Demi-Creator,Weapon,Berserker's Rage,true
Blacksmith,Creator,Weapon,Adventurer's Sword,true
Blacksmith,Creator,Weapon,Crescent Blade,true
Blacksmith,Creator,Weapon,Divine Dagger,
Blacksmith,Creator,Weapon,Divine Blade,true
Blacksmith,Creator,Weapon,Lunares Blade,true
Blacksmith,Creator,Weapon,Gallant Blade,true
Blacksmith,Creator,Weapon,Giga Buster,
Blacksmith,Creator,Weapon,Sword of Heroes,true
Blacksmith,Fledgling,Tool,Bronze Hammer,true
Blacksmith,Fledgling,Tool,Bronze Pickaxe,
Blacksmith,Fledgling,Tool,Bronze Needle,
Blacksmith,Fledgling,Tool,Bronze Frying Pan,
Blacksmith,Apprentice,Tool,Iron Hammer,true
Blacksmith,Apprentice,Tool,Iron Pickaxe,
Blacksmith,Apprentice,Tool,Iron Needle,
Blacksmith,Apprentice,Tool,Iron Frying Pan,
Blacksmith,Adept,Tool,Silver Hammer,true
Blacksmith,Adept,Tool,Silver Pickaxe,
Blacksmith,Adept,Tool,Silver Needle,
Blacksmith,Adept,Tool,Silver Frying Pan,
Blacksmith,Expert,Tool,Gold Hammer,true
Blacksmith,Expert,Tool,Gold Pickaxe,
Blacksmith,Expert,Tool,Gold Needle,
Blacksmith,Expert,Tool,Gold Frying Pan,
Blacksmith,Expert,Tool,Super Hammer,true
Blacksmith,Expert,Tool,Fashionista's Needle,true
Blacksmith,Expert,Tool,Clam Frying Pan,true
Blacksmith,Master,Tool,New Wave Needle,true
Blacksmith,Master,Tool,Flame Hammer,true
Blacksmith,Master,Tool,Rockcrusher Hammer,true
Blacksmith,Master,Tool,Lava Pickaxe,true
Blacksmith,Master,Tool,Deep Sea Pickaxe,true
Blacksmith,Master,Tool,Mole Pickaxe,true
Blacksmith,Master,Tool,Industry Needle,true
Blacksmith,Master,Tool,Foreign Frying Pan,true
Blacksmith,Hero,Tool,Spark Hammer,true
Blacksmith,Demi-Creator,Tool,Hornet Needle,
Blacksmith,Demi-Creator,Tool,Gothic Needle,true
Blacksmith,Demi-Creator,Tool,Enchanted Frying Pan,true
Blacksmith,Demi-Creator,Tool,Ancient Pickaxe,true
Blacksmith,Demi-Creator,Tool,Ancient Frying Pan,
Blacksmith,Demi-Creator,Tool,Gigaga Pickaxe,
Blacksmith,Demi-Creator,Tool,Vintage Needle,
Blacksmith,Demi-Creator,Tool,Gigaga Hammer,true
Blacksmith,Demi-Creator,Tool,Clockwork Hammer,true
Blacksmith,Demi-Creator,Tool,Phoenix Frying Pan,
Blacksmith,Demi-Creator,Tool,Demonic Pickaxe,
Blacksmith,Demi-Creator,Tool,Vogue Needle,
Blacksmith,Creator,Tool,Star Smasher,true
Blacksmith,Creator,Tool,Pan de Cuisine,
Blacksmith,Creator,Tool,Spirit Pickaxe,
Blacksmith,Creator,Tool,Athena's Needle,
Blacksmith,Creator,Tool,Spirit Hammer,true
Blacksmith,Creator,Tool,Solar Pickaxe,true
Blacksmith,Creator,Tool,Haute Needle,true
Blacksmith,Creator,Tool,Frymaster 2000,true
Blacksmith,Fledgling,Armor,Bronze Shield,
Blacksmith,Fledgling,Armor,Leather Cap,
Blacksmith,Fledgling,Armor,Leather Armor,true
Blacksmith,Fledgling,Armor,Leather Leggings,
Blacksmith,Fledgling,Armor,Leather Gauntlets,
Blacksmith,Fledgling,Armor,Leather Boots,
Blacksmith,Apprentice,Armor,Iron Shield,
Blacksmith,Apprentice,Armor,Iron Helmet,
Blacksmith,Apprentice,Armor,Iron Armor,true
Blacksmith,Apprentice,Armor,Iron Leg Guards,
Blacksmith,Apprentice,Armor,Iron Gauntlets,
Blacksmith,Apprentice,Armor,Iron Boots,
Blacksmith,Apprentice,Armor,Snakeskin Helm,
Blacksmith,Apprentice,Armor,Snakeskin Mail,true
Blacksmith,Apprentice,Armor,Snakeskin Leggings,
Blacksmith,Apprentice,Armor,Snakeskin Gloves,
Blacksmith,Apprentice,Armor,Snakeskin Boots,
Blacksmith,Adept,Armor,Silver Shield,
Blacksmith,Adept,Armor,Savage Cap,
Blacksmith,Adept,Armor,Savage Armor,true
Blacksmith,Adept,Armor,Savage Leggings,
Blacksmith,Adept,Armor,Savage Gauntlets,
Blacksmith,Adept,Armor,Savage Boots,
Blacksmith,Adept,Armor,Mermaid Helm,
Blacksmith,Adept,Armor,Mermaid Mail,true
Blacksmith,Adept,Armor,Mermaid Leggings,
Blacksmith,Adept,Armor,Mermaid Gloves,
Blacksmith,Adept,Armor,Mermaid Boots,
Blacksmith,Expert,Armor,Shellmet,
Blacksmith,Expert,Armor,Shell Armor,true
Blacksmith,Expert,Armor,Shell Bottoms,
Blacksmith,Expert,Armor,Shell Gauntlets,
Blacksmith,Expert,Armor,Shell Boots,
Blacksmith,Expert,Armor,Gold Helm,
Blacksmith,Expert,Armor,Gold Armor,
Blacksmith,Expert,Armor,Gold Leg Guards,
Blacksmith,Expert,Armor,Gold Gauntlets,
Blacksmith,Expert,Armor,Gold Boots,
Blacksmith,Expert,Armor,Gold Shield,
Blacksmith,Expert,Armor,Captain's Shield,true
Blacksmith,Expert,Armor,Rose Shield,true
Blacksmith,Expert,Armor,Gladiator's Helm,true
Blacksmith,Expert,Armor,Gladiator's Armor,true
Blacksmith,Expert,Armor,Gladiator's Leg Guards,
Blacksmith,Expert,Armor,Gladiator's Wrist Bands,
Blacksmith,Expert,Armor,Gladiator's Metal Boots,
Blacksmith,Expert,Armor,Beastly Cap,true
Blacksmith,Expert,Armor,Beastly Armor,true
Blacksmith,Expert,Armor,Beastly Leggings,
Blacksmith,Expert,Armor,Beastly Gauntlets,
Blacksmith,Expert,Armor,Beastly Boots,
Blacksmith,Master,Armor,Magicbane Shield,true
Blacksmith,Master,Armor,Knightly Shield,true
Blacksmith,Master,Armor,Inferno Helm,true
Blacksmith,Master,Armor,Inferno Armor,true
Blacksmith,Master,Armor,Inferno Leggings,
Blacksmith,Master,Armor,Inferno Gauntlets,
Blacksmith,Master,Armor,Inferno Boots,
Blacksmith,Master,Armor,Magic Helm,true
Blacksmith,Master,Armor,Magic Armor,true
Blacksmith,Master,Armor,Magic Leg Guards,
Blacksmith,Master,Armor,Magic Gauntlets,
Blacksmith,Master,Armor,Magic Boots,
Blacksmith,Master,Armor,Tidal Helm,true
Blacksmith,Master,Armor,Tidal Armor,true
Blacksmith,Master,Armor,Tidal Leggings,
Blacksmith,Master,Armor,Tidal Gauntlets,
Blacksmith,Master,Armor,Tidal Boots,
Blacksmith,Master,Armor,Dragon Helm,true
Blacksmith,Master,Armor,Dragon Mail,true
Blacksmith,Master,Armor,Dragon Leggings,
Blacksmith,Master,Armor,Dragon Gloves,
Blacksmith,Master,Armor,Dragon Boots,
Blacksmith,Hero,Armor,Holy Helm,true
Blacksmith,Hero,Armor,Holy Armor,true
Blacksmith,Hero,Armor,Holy Leggings,
Blacksmith,Hero,Armor,Holy Gauntlets,
Blacksmith,Hero,Armor,Holy Boots,
Blacksmith,Demi-Creator,Armor,Fafnir's Helm,true
Blacksmith,Demi-Creator,Armor,Fafnir's Mail,true
Blacksmith,Demi-Creator,Armor,Fafnir's Gloves,
Blacksmith,Demi-Creator,Armor,Fafnir's Boots,
Blacksmith,Demi-Creator,Armor,Fafnir's Leggings,
Blacksmith,Demi-Creator,Armor,Godly Helm,true
Blacksmith,Demi-Creator,Armor,Godly Armor,true
Blacksmith,Demi-Creator,Armor,Godly Leggings,
Blacksmith,Demi-Creator,Armor,Godly Gauntlets,
Blacksmith,Demi-Creator,Armor,Godly Boots,
Blacksmith,Demi-Creator,Armor,Rune Helm,true
Blacksmith,Demi-Creator,Armor,Rune Armor,true
Blacksmith,Demi-Creator,Armor,Rune Leg Guards,
Blacksmith,Demi-Creator,Armor,Rune Gauntlets,
Blacksmith,Demi-Creator,Armor,Rune Boots,
Blacksmith,Demi-Creator,Armor,Shadow Cap,true
Blacksmith,Demi-Creator,Armor,Shadow Armor,true
Blacksmith,Demi-Creator,Armor,Shadow Leg Guards,
Blacksmith,Demi-Creator,Armor,Shadow Gauntlets,
Blacksmith,Demi-Creator,Armor,Shadow Boots,
Blacksmith,Demi-Creator,Armor,Officer's Helm,true
Blacksmith,Demi-Creator,Armor,Officer's Armor,true
Blacksmith,Demi-Creator,Armor,Officer's Hand Guards,
Blacksmith,Demi-Creator,Armor,Officer's Tabi,
Blacksmith,Demi-Creator,Armor,Ancient Shield,true
Blacksmith,Creator,Armor,Lord's Helm,true
Blacksmith,Creator,Armor,Lord's Armor,true
Blacksmith,Creator,Armor,Lord's Hand Guards,
Blacksmith,Creator,Armor,Lord's Tabi,
Blacksmith,Creator,Armor,Shogun Helm,true
Blacksmith,Creator,Armor,Shogun Armor,true
Blacksmith,Creator,Armor,Shogun Hand Guards,
Blacksmith,Creator,Armor,Shogun Tabi,
Blacksmith,Creator,Armor,Aegis Shield,true
Blacksmith,Creator,Armor,Ares Circlet,true
Blacksmith,Creator,Armor,Ares Armor,true
Blacksmith,Creator,Armor,Ares Guard,
Blacksmith,Creator,Armor,Ares Hand Guards,
Blacksmith,Creator,Armor,Ares Sandals,
Blacksmith,Creator,Armor,Ares Cape,
Blacksmith,Creator,Armor,Crusader's Circlet,true
Blacksmith,Creator,Armor,Crusader's Tiara,true
Blacksmith,Creator,Armor,Crusader's Leg Guards,
Blacksmith,Creator,Armor,Crusader's Gauntlets,
Blacksmith,Creator,Armor,Crusader's Boots,
Blacksmith,Creator,Armor,Crusader's Plating,true
Blacksmith,Creator,Armor,Avalanche Helmet,
Blacksmith,Creator,Armor,Grand Miner's Cuirass,
Blacksmith,Creator,Armor,Steel Helm,true
Blacksmith,Creator,Armor,Berserker's Armor,true
Blacksmith,Creator,Armor,Tough Leg Guards,
Blacksmith,Creator,Armor,Metal Gauntlets,
Blacksmith,Creator,Armor,Steel-Toe Shoes,
Blacksmith,Creator,Armor,Gallant Shield,true
Blacksmith,Creator,Armor,Cursed Dragon Helm,true
Carpenter,Fledgling,Material,Oak Beam,
Carpenter,Apprentice,Material,Pine Beam,
Carpenter,Apprentice,Material,Palm Beam,
Carpenter,Adept,Material,Sugar Beam,
Carpenter,Adept,Material,Mangrove Beam,
Carpenter,Expert,Material,Fir Beam,
Carpenter,Expert,Material,Desert Beam,
Carpenter,Master,Material,Fire Beam,
Carpenter,Master,Material,Wind Beam,
Carpenter,Master,Material,Water Beam,
Carpenter,Master,Material,Earth Beam,
Carpenter,Master,Material,Skytree Beam,
Carpenter,Master,Material,Starry Beam,
Carpenter,Demi-Creator,Material,Gigaga Beam,
Carpenter,Demi-Creator,Material,Divine Beam,
Carpenter,Fledgling,Weapon,Oak Staff,
Carpenter,Fledgling,Weapon,Oak Bow,
Carpenter,Apprentice,Weapon,Pine Staff,
Carpenter,Apprentice,Weapon,Pine Bow,
Carpenter,Apprentice,Weapon,Palm Staff,
Carpenter,Apprentice,Weapon,Palm Bow,
Carpenter,Adept,Weapon,Sugar Staff,
Carpenter,Adept,Weapon,Sugar Bow,
Carpenter,Expert,Weapon,Mooncrest Staff,true
Carpenter,Expert,Weapon,Orca Bow,true
Carpenter,Master,Weapon,Star Staff,true
Carpenter,Master,Weapon,Purrfection Staff,true
Carpenter,Master,Weapon,Bat Wing Staff,true
Carpenter,Master,Weapon,Flaming Bow,true
Carpenter,Hero,Weapon,Destiny Bow,true
Carpenter,Hero,Weapon,Serpent Staff,true
Carpenter,Demi-Creator,Weapon,Dragon Staff,
Carpenter,Demi-Creator,Weapon,Wyvern Bow,
Carpenter,Demi-Creator,Weapon,Bon Bon-Bon,true
Carpenter,Demi-Creator,Weapon,Hermes's Bow,true
Carpenter,Demi-Creator,Weapon,Chaos Bringer,true
Carpenter,Demi-Creator,Weapon,Heartbreaker,true
Carpenter,Creator,Weapon,Dragon's Tail,true
Carpenter,Creator,Weapon,Wyvern's Breath,true
Carpenter,Creator,Weapon,Staff of Dawn,true
Carpenter,Creator,Weapon,Thunderstrike Bow,true
Carpenter,Creator,Weapon,Forest Bow,true
Carpenter,Creator,Weapon,Staff of Wisdom,true
Carpenter,Fledgling,Tool,Oak Rod,
Carpenter,Fledgling,Tool,Oak Axe,
Carpenter,Fledgling,Tool,Oak Saw,
Carpenter,Apprentice,Tool,Pine Rod,
Carpenter,Apprentice,Tool,Pine Axe,
Carpenter,Apprentice,Tool,Pine Saw,
Carpenter,Apprentice,Tool,Palm Rod,
Carpenter,Apprentice,Tool,Palm Axe,
Carpenter,Apprentice,Tool,Palm Saw,
Carpenter,Adept,Tool,Sugar Rod,
Carpenter,Adept,Tool,Sugar Axe,
Carpenter,Adept,Tool,Sugar Saw,
Carpenter,Expert,Tool,Sparkle Axe,true
Carpenter,Expert,Tool,Royal Saw,true
Carpenter,Expert,Tool,Famous Angler's Rod,true
Carpenter,Master,Tool,Marine Axe,true
Carpenter,Master,Tool,Sea Saw,true
Carpenter,Master,Tool,Whirlpool Rod,true
Carpenter,Master,Tool,Sandstorm Rod,true
Carpenter,Master,Tool,Gold Saw,true
Carpenter,Master,Tool,Goddess's Axe,true
Carpenter,Demi-Creator,Tool,Giant's Axe,true
Carpenter,Demi-Creator,Tool,Ancient Saw,true
Carpenter,Demi-Creator,Tool,Gigaga Fishing Rod,
Carpenter,Demi-Creator,Tool,Gigaga Axe,
Carpenter,Demi-Creator,Tool,Gigaga Saw,
Carpenter,Demi-Creator,Tool,Victory Fishing Rod,
Carpenter,Demi-Creator,Tool,Cutterfly,true
Carpenter,Demi-Creator,Tool,Plume Saw,true
Carpenter,Creator,Tool,Sea Cloud Rod,true
Carpenter,Creator,Tool,Star Fishing Rod,true
Carpenter,Creator,Tool,Meteor Axe,true
Carpenter,Creator,Tool,Solar Saw,true
Carpenter,Creator,Tool,Great Forest Axe,true
Carpenter,Creator,Tool,Master Saw,true
Carpenter,Creator,Tool,Marine Rod,true
Carpenter,Fledgling,Decor,Wooden Box,
Carpenter,Fledgling,Decor,Rubbish Bin,
Carpenter,Fledgling,Decor,Wooden Chair,
Carpenter,Fledgling,Decor,Wooden Low Table,
Carpenter,Fledgling,Decor,Wooden Dining Table,true
Carpenter,Fledgling,Decor,Wooden Cabinet,
Carpenter,Fledgling,Decor,Wooden Sofa,true
Carpenter,Fledgling,Decor,Wooden Bed,true
Carpenter,Fledgling,Decor,Wooden Chest,
Carpenter,Fledgling,Decor,Wooden Wardrobe,
Carpenter,Apprentice,Decor,Basket,
Carpenter,Apprentice,Decor,Patched Hole,
Carpenter,Apprentice,Decor,Barrel,
Carpenter,Apprentice,Decor,Port Town Chair,
Carpenter,Apprentice,Decor,Tiled Low Table,
Carpenter,Apprentice,Decor,Tiled Dining Table,true
Carpenter,Apprentice,Decor,Tiled Cabinet,
Carpenter,Apprentice,Decor,Port Town Couch,true
Carpenter,Apprentice,Decor,Port Town Bed,true
Carpenter,Apprentice,Decor,Tiled Chest,
Carpenter,Apprentice,Decor,Port Town Wardrobe,
Carpenter,Apprentice,Decor,Scarecrow,
Carpenter,Adept,Decor,Starry Night Chair,
Carpenter,Adept,Decor,Starry Night Low Table,
Carpenter,Adept,Decor,Starry Night Dining Table,true
Carpenter,Adept,Decor,Starry Night Cabinet,
Carpenter,Adept,Decor,Starry Night Sofa,true
Carpenter,Adept,Decor,Starry Night Bed,true
Carpenter,Adept,Decor,Starry Night Chest,
Carpenter,Adept,Decor,Starry Night Wardrobe,
Carpenter,Adept,Decor,Pirate Chair,
Carpenter,Adept,Decor,Pirate Low Table,
Carpenter,Adept,Decor,Pirate Dining Table,true
Carpenter,Adept,Decor,Pirate Cabinet,
Carpenter,Adept,Decor,Pirate Bench,true
Carpenter,Adept,Decor,Pirate Berth,true
Carpenter,Adept,Decor,Pirate Chest,
Carpenter,Adept,Decor,Pirate Wardrobe,
Carpenter,Expert,Decor,Treasure Chest,
Carpenter,Expert,Decor,Forest Chair,
Carpenter,Expert,Decor,Forest Low Table,
Carpenter,Expert,Decor,Forest Dining Table,true
Carpenter,Expert,Decor,Forest Cabinet,
Carpenter,Expert,Decor,Forest Sofa,true
Carpenter,Expert,Decor,Forest Bed,true
Carpenter,Expert,Decor,Forest Chest,
Carpenter,Expert,Decor,Forest Wardrobe,
Carpenter,Expert,Decor,Chair of Attonement,
Carpenter,Expert,Decor,Occult Low Table,
Carpenter,Expert,Decor,Bloodthirsty Table,true
Carpenter,Expert,Decor,Ominous Cabinet,
Carpenter,Expert,Decor,Treacherous Sofa,true
Carpenter,Expert,Decor,Nightmare Bed,true
Carpenter,Expert,Decor,Darkness-Eating Chest,
Carpenter,Expert,Decor,Otherworldly Wardobe,
Carpenter,Master,Decor,Secret Door,
Carpenter,Master,Decor,Royal Chair,
Carpenter,Master,Decor,Royal Low Table,
Carpenter,Master,Decor,Royal Dining Table,true
Carpenter,Master,Decor,Royal Cabinet,
Carpenter,Master,Decor,Royal Sofa,true
Carpenter,Master,Decor,Royal Bed,true
Carpenter,Master,Decor,Royal Chest,
Carpenter,Master,Decor,Royal Wardrobe,
Carpenter,Hero,Decor,Imaginary Window,true
Carpenter,Hero,Decor,World Map,true
Carpenter,Legend,Decor,Dragon Skeleton,true
Carpenter,Demi-Creator,Decor,Fluffkin Window,
Carpenter,Demi-Creator,Decor,Fluffkin Wardrobe,
Carpenter,Demi-Creator,Decor,Fluffkin Chair,
Carpenter,Demi-Creator,Decor,Astral Window,
Carpenter,Demi-Creator,Decor,Deep Sea Window,
Carpenter,Demi-Creator,Decor,Rainbow Lamp,
Carpenter,Demi-Creator,Decor,Cloud Bed,
Carpenter,Demi-Creator,Decor,Floaty Table,
Carpenter,Creator,Decor,Dreamy Rocking Chair,true
Carpenter,Creator,Decor,Portable Patio,true
Carpenter,Creator,Decor,Dark Sultan's Lamp,
Carpenter,Creator,Decor,Flower Ball Lamp,
Carpenter,Creator,Decor,Scholar's Candle Stand,
Carpenter,Creator,Decor,Great Sword,
Carpenter,Creator,Decor,Book Stack,
Cook,Fledgling,Fruit and Veg,Carrot Soup,
Cook,Fledgling,Fruit and Veg,Apple Juice,
Cook,Apprentice,Fruit and Veg,Vegetable Stew,
Cook,Apprentice,Fruit and Veg,Tomato Soup,
Cook,Apprentice,Fruit and Veg,Boiled Veg,true
Cook,Adept,Fruit and Veg,Summer Nectar,
Cook,Adept,Fruit and Veg,Barley Juice,true
Cook,Adept,Fruit and Veg,Cabbage Rolls,
Cook,Adept,Fruit and Veg,Pumpkin Soup,
Cook,Adept,Fruit and Veg,Corn on the Cob,
Cook,Expert,Fruit and Veg,Sweet Potato Dessert,
Cook,Expert,Fruit and Veg,Pumpkin Pie,
Cook,Expert,Fruit and Veg,Magical Milkshake,
Cook,Expert,Fruit and Veg,Pirate Gumbo,true
Cook,Expert,Fruit and Veg,Magical Honey Dessert,
Cook,Expert,Fruit and Veg,Sultan's Stew,true
Cook,Master,Fruit and Veg,Magical Pie,true
Cook,Hero,Fruit and Veg,Legendary Corn,true
Cook,Demi-Creator,Fruit and Veg,Goddess's Frappé,
Cook,Demi-Creator,Fruit and Veg,Hermit's Drink,
Cook,Demi-Creator,Fruit and Veg,Rainbow Gelato,true
Cook,Demi-Creator,Fruit and Veg,Mushroom Medley,true
Cook,Demi-Creator,Fruit and Veg,Glorious Dinner,true
Cook,Creator,Fruit and Veg,Lunares Pie,
Cook,Creator,Fruit and Veg,Strength Candy,true
Cook,Creator,Fruit and Veg,Vitality Candy,true
Cook,Creator,Fruit and Veg,Dexterity Candy,true
Cook,Fledgling,Egg,Boiled Egg,
Cook,Fledgling,Egg,Egg Roll,
Cook,Apprentice,Egg,Fluffy Omelette,
Cook,Apprentice,Egg,Mushroom Quiche,
Cook,Adept,Egg,Eggy Fried Rice,
Cook,Adept,Egg,Honey Pudding,
Cook,Adept,Egg,Giant Fried Egg,true
Cook,Adept,Egg,Pumpkin Quiche,
Cook,Expert,Egg,Magical Omelette,true
Cook,Expert,Egg,Forest Quiche,true
Cook,Expert,Egg,Magical Pudding,
Cook,Master,Egg,Royal Omelette,true
Cook,Master,Egg,Fried Blizzard Egg,true
Cook,Master,Egg,Electro Egg Rice,true
Cook,Master,Egg,Occult Roll,true
Cook,Demi-Creator,Egg,Hot Spring Egg,
Cook,Demi-Creator,Egg,Golden Omelette,
Cook,Fledgling,Meat,Roast Mutton,
Cook,Fledgling,Meat,Shish Kebab,
Cook,Fledgling,Meat,Winter Stew,true
Cook,Apprentice,Meat,Well-Done Burger,true
Cook,Apprentice,Meat,Juicy Mutton,
Cook,Apprentice,Meat,Tasty Kebab,
Cook,Adept,Meat,Steak,
Cook,Adept,Meat,Southern Stew,
Cook,Adept,Meat,Juicy Burger,true
Cook,Adept,Meat,T-Rex Leg,true
Cook,Expert,Meat,Saurus Leg,
Cook,Expert,Meat,Bandit Steak,
Cook,Expert,Meat,Dreamy Steak,
Cook,Expert,Meat,Monstrous Sauté,
Cook,Expert,Meat,Royal Hamburger,true
Cook,Expert,Meat,Monster Roast,true
Cook,Master,Meat,Juicy Monster Meat,true
Cook,Master,Meat,Sautéed Dragon,true
