Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC,Notes
Port Puerto Beach District,Sardine,,Sardine,Common,Adept,,,
Port Puerto Beach District,Pirate Carp,,Pirate Carp,Rare,Adept,,,
Tortuga Archipelago,Sardine,,Sardine,Common,Adept,,,
Tortuga Archipelago,Puerto Bream,,Puerto Bream,Common,Adept,,,
Tortuga Archipelago,Flying Fish,,Flying Fish,Common,Adept,,,
Tortuga Archipelago,Pufferfish,,Pufferfish,Common,Adept,,,
Tortuga Archipelago,Tuna,,Tuna,Rare,Adept,,,
Tortuga Archipelago,Swordfish,,Swordfish Fin,Very Common,Adept,,,
Tortuga Archipelago,Golden Swordfish,,Golden Fin,Very Common,Hero,,,The Golden Swordfish spawns in the same place as the regular Swordfish.
Tortuga Archipelago,Swordfish,Swordfish Bounty,Swordfish,100%,Adept,,,
Tortuga Archipelago,Swordfish,Swordfish Bounty,1000 Dosh,,Adept,,,
Tortuga Archipelago,Golden Swordfish,Golden Swordfish Bounty,Golden Swordfish,100%,Hero,,,
Tortuga Archipelago,Golden Swordfish,Golden Swordfish Bounty,2500 Dosh,,Hero,,,
Nautilus Cave,Squid,,Squid,Common,Expert,,,
Nautilus Cave,Prawn,,Prawn,Common,Expert,,,
Deepsea Cave,Squid,,Squid,Common,Expert,,,
Deepsea Cave,Prawn,,Prawn,Common,Expert,,,
Deepsea Cave,Deepsea Lordfish,,Antenna Lantern,Very Common,Expert,,,
Deepsea Cave,Poseidon Swordfish,,Swordfish Fin,Very Common,Creator,Angler,DLC,
Deepsea Cave,Deep Sea Lordfish,Deep Sea Lordfish Bounty,Deep Sea Lordfish,100%,Expert,,,
Deepsea Cave,Deep Sea Lordfish,Deep Sea Lordfish Bounty,1500 Dosh,,Expert,,,
Deepsea Cave,Poseidon Swordfish,Poseidon Swordfish Bounty,Poseidon Swordfish,100%,Creator,Angler,DLC,
Deepsea Cave,Poseidon Swordfish,Poseidon Swordfish Bounty,10000 Dosh,,Creator,Angler,DLC,
Al Maajik Outskirts,Flying Fish,,Flying Fish,Common,Adept,,,
Al Maajik Outskirts,Sardine,,Sardine,Common,Adept,,,
Al Maajik Outskirts,Black Bass,,Black Bass,Common,Expert,,,
Al Maajik Outskirts,Evil Carp,,Evil Carp,Rare,Expert,,,
Aridian Desert,Sandfish,,Sandfish,Common,Expert,,,
Aridian Desert,Desert Tuna,,Desert Tuna,Common,Expert,,,
Aridian Desert,Cactus Fish,,Cactus Fish,Rare,Expert,,,
Aridian Desert,Bass of Darkness,,Dark Scales,Very Common,Expert,,,
Aridian Desert,Bass of Darkness,Bass of Darkness Bounty,Bass of Darkness,100%,Expert,,,
Aridian Desert,Bass of Darkness,Bass of Darkness Bounty,2000 Dosh,,Expert,,,
Subterranean Lake,Black Bass,,Black Bass,Common,Expert,,,
Subterranean Lake,Cave Catfish,,Cave Catfish,Common,Master,,,
Subterranean Lake,Electric Eel,,Electric Eel,Rare,Master,,,
Subterranean Lake,Bluescale Lordfish,,Subterranean Scales,Very Common,Master,,,
Subterranean Lake,Bluescale Lordfish,Bluescale Lordfish Bounty,Bluescale Lordfish,100%,Master,,,
Subterranean Lake,Bluescale Lordfish,Bluescale Lordfish Bounty,1800 Dosh,,Master,,,
Cacto Cove,Sardine,,Sardine,Common,Adept,,,
Cacto Cove,Flying Fish,,Flying Fish,Common,Adept,,,
Cacto Cove,Parasol Fish,,Parasol Fish,Uncommon,Expert,,,
Cacto Cove,Sea Bream of Love,,Sea Bream of Love,Uncommon,Master,,,
Cacto Cove,Sweet Fish Pastry,,Sweet Fish Pastry,Rare,Master,,,
Central Levitania,Sky Sardine,,Sky Sardine,Common,Hero,,,
Central Levitania,Floaty Pufferfish,,Floaty Pufferfish,Uncommon,Hero,,,
Central Levitania,High-Flying Fish,,Celestial Scales,Very Common,Hero,,,
Central Levitania,High-Flying Fish,High-Flying Fish Bounty,High-Flying Fish,100%,Hero,,,
Central Levitania,High-Flying Fish,High-Flying Fish Bounty,3000 Dosh,,Hero,,,
Central Grassland,Gigaga Catfish,,Gigaga Catfish,Common,Creator,,DLC,
Central Grassland,Fossilfish,,Fossilfish,Common,Creator,,DLC,
Central Grassland,Godfish,,Godfish Moss,Very Common,Creator,,DLC,
Central Grassland,Godfish,Godfish Bounty,Godfish,100%,Creator,,DLC,
Central Grassland,Godfish,Godfish Bounty,7000 Dosh,,Creator,,DLC,
Forest Shrine,Hot Spring Bream,,Hot Spring Bream,Common,Creator,,DLC,
Penguin Beach,Kissylips Angelfish,,Kissylips Angelfish,Common,Creator,,DLC,
Penguin Beach,Fossilfish,,Fossilfish,Common,Creator,,DLC,
Penguin Beach,Rainbow Sunfish,,Rainbow Sunfish,Common,Creator,,DLC,
Penguin Beach,Demonic Tuna,,Other-Worldy Fin,Very Common,Creator,,DLC,
Penguin Beach,Demonic Tuna,Demonic Tuna Bounty,Demonic Tuna,100%,Creator,,DLC,
Penguin Beach,Demonic Tuna,Demonic Tuna Bounty,5000 Dosh,,Creator,,DLC,
Trial of Time,Fossilfish,,Fossilfish,Common,Creator,,DLC,
Trial of Time,Goddess's Carp,,Goddess's Carp,Rare,Creator,,DLC,
Trial of Darkness,Fossilfish,,Fossilfish,Common,Creator,,DLC,
Trial of Darkness,Goddess's Carp,,Goddess's Carp,Rare,Creator,,DLC,
Trial of Light,Fossilfish,,Fossilfish,Common,Creator,,DLC,
Trial of Light,Goddess's Carp,,Goddess's Carp,Rare,Creator,,DLC,
