Rocky Hill Shrine,Superior Elixir,DLC
Rocky Hill Shrine,Superior Spraylixir,DLC
Rocky Hill Shrine,Wisdom Orb,DLC
Forest Shrine,Ancient Dagger,DLC
Forest Shrine,Angelic Remedy,DLC
Forest Shrine,Cloud Curtains,DLC
Forest Shrine,Dragon Wand,DLC
Forest Shrine,Gigaga Fishing Rod,DLC
Forest Shrine,Gigaga Hammer,DLC
Forest Shrine,Gigaga Saw,DLC
Forest Shrine,Divine Mist,DLC
Forest Shrine,Life Cure,DLC
Forest Shrine,Love Orb,DLC
Forest Shrine,Miracle,DLC
Forest Shrine,Protection Stone,DLC
Forest Shrine,Rune Cuirass,DLC
Forest Shrine,Rune Boots,DLC
Forest Shrine,Rune Gauntlets,DLC
Forest Shrine,Rune Helm,DLC
Forest Shrine,Rune Leg Guards,DLC
Forest Shrine,Sack of Secret Treasure,DLC
Forest Shrine,Soul Stone,DLC
Forest Shrine,Superior Elixir,DLC
Forest Shrine,Superior Spraylixir,DLC
Forest Shrine,Wisdom Orb,DLC
Penguin Beach,Ancient Dagger,DLC
Penguin Beach,Angelic Remedy,DLC
Penguin Beach,Bravery Orb,DLC
Penguin Beach,Fafnir's Leggings,DLC
Penguin Beach,Creator Cuirass,DLC
Penguin Beach,Creator Helm,DLC
Penguin Beach,Divine Mist,DLC
Penguin Beach,Life Cure,DLC
Penguin Beach,Love Orb,DLC
Penguin Beach,Luck Potion,DLC
Penguin Beach,Miracle,DLC
Penguin Beach,Origin Island Doublet,DLC
Penguin Beach,Origin Island Gloves,DLC
Penguin Beach,Relic Sword,DLC
Penguin Beach,Rune Cuirass,DLC
Penguin Beach,Rune Boots,DLC
Penguin Beach,Rune Gauntlets,DLC
Penguin Beach,Rune Helm,DLC
Penguin Beach,Rune Leg Guards,DLC
Penguin Beach,Sack of Secret Treasure,DLC
Penguin Beach,Superior Elixir,DLC
Penguin Beach,Superior Spraylixir,DLC
Penguin Beach,Wisdom Orb,DLC
Trial of Time,Ancient Emerald,DLC
Trial of Time,Ancient Shield,DLC
Trial of Time,Angelic Remedy,DLC
Trial of Time,Divine Mist,DLC
Trial of Time,Life Cure,DLC
Trial of Time,Luck Potion,DLC
Trial of Time,Mystical Sapphire,DLC
Trial of Time,Officer's Hand Guards,DLC
Trial of Time,Officer's Tabi,DLC
Trial of Time,Sack of Secret Treasure,DLC
Trial of Time,Superior Spraylixir,DLC
Trial of Time Top Floor,Bravery Orb,DLC
Trial of Time Top Floor,Freya's Hand Guards,DLC
Trial of Time Top Floor,Freya's Helm,DLC
Trial of Time Top Floor,Freya's Sandals,DLC
Trial of Time Top Floor,Freya's Wings,DLC
Trial of Time Top Floor,Love Orb,DLC
Trial of Time Top Floor,Solar Saw,DLC
Trial of Time Top Floor,Wisdom Orb,DLC
Trial of Time Top Floor,Yggdrasil Flask,DLC
Trial of Darkness,Angelic Remedy,DLC
Trial of Darkness,Divine Mist,DLC
Trial of Darkness,Life Cure,DLC
Trial of Darkness,Lord's Armour,DLC
Trial of Darkness,Lord's Hand Guards,DLC
Trial of Darkness,Lord's Helm,DLC
Trial of Darkness,Lord's Tabi,DLC
Trial of Darkness,Luck Potion,DLC
Trial of Darkness,Minerva's Hand Guards,DLC
Trial of Darkness,Minerva's Mail,DLC
Trial of Darkness,Minerva's Sandals,DLC
Trial of Darkness,Minerva's Skirt,DLC
Trial of Darkness,Minerva's Wings,DLC
Trial of Darkness,Miracle,DLC
Trial of Darkness,Mythical Sapphire,DLC
Trial of Darkness,Sack of Secret Treasure,DLC
Trial of Darkness,Superior Spraylixir,DLC
Trial of Darkness Top Floor,Berserker's Rage,DLC
Trial of Darkness Top Floor,Bravery Orb,DLC
Trial of Darkness Top Floor,Chaos Bringer,DLC
Trial of Darkness Top Floor,Demonic Dagger,DLC
Trial of Darkness Top Floor,Heart Breaker,DLC
Trial of Darkness Top Floor,Love Orb,DLC
Trial of Darkness Top Floor,Meteor Axe,DLC
Trial of Darkness Top Floor,Rune Sword,DLC
Trial of Darkness Top Floor,Star Fishing Rod,DLC
Trial of Darkness Top Floor,Star Smasher,DLC
Trial of Darkness Top Floor,Wisdom Orb,DLC
Trial of Light,Aegis Shield,DLC
Trial of Light,Ancient Emerald,DLC
Trial of Light,Angelic Remedy,DLC
Trial of Light,Godly Spray,DLC
Trial of Light,Life Cure,DLC
Trial of Light,Luck Potion,DLC
Trial of Light,Miracle,DLC
Trial of Light,Mystical Sapphire,DLC
Trial of Light,Sack of Secret Treasure,DLC
Trial of Light,Shogun Armour,DLC
Trial of Light,Shogun Hand Guards,DLC
Trial of Light,Shogun Helm,DLC
Trial of Light,Shogun Tabi,DLC
Trial of Light,Superior Spraylixir,DLC
Trial of Light,Valkyrie Hand Guards,DLC
Trial of Light,Valkyrie Helm,DLC
Trial of Light,Valkyrie Mail,DLC
Trial of Light,Valkyrie Sandals,DLC
Trial of Light,Valkyrie Skirt,DLC
Trial of Light,Valkyrie Wings,DLC
Trial of Light Top Floor,Athena's Needle,DLC
Trial of Light Top Floor,Bravery Orb,DLC
Trial of Light Top Floor,Divine Blade,DLC
Trial of Light Top Floor,Divine Dagger,DLC
Trial of Light Top Floor,Love Orb,DLC
Trial of Light Top Floor,Lunares Blade,DLC
Trial of Light Top Floor,Pan de Cuisine,DLC
Trial of Light Top Floor,Spirit Pickaxe,DLC
Trial of Light Top Floor,Thunderstrike Bow,DLC
Trial of Light Top Floor,Wand of Dawn,DLC
Trial of Light Top Floor,Wisdom Orb,DLC
