Rank,Life,Name,Stars,Dependency1,Dependency2,Dependency3,Dependency4,DLC
Apprentice,Mercenary,Croc Killer,,,,,,
Apprentice,Mercenary,Crocodile Champ,,,,,,
Apprentice,Mercenary,Savage Salad,,,,,,
Apprentice,Mercenary,Un-bear-able,,,,,,
Adept,Mercenary,Hurricane Hero!,,,,,,
Adept,Mercenary,Turtortle Trails,,,,,,
Adept,Mercenary,Turtortle Tour,,,,,,
Adept,Mercenary,"Turtortle, or not Turtortle?",,,,,,
Adept,Mercenary,Angry Alligators,,,,,,
Adept,Mercenary,"See Ya Later, Alligator!",,,,,,
Adept,Mercenary,Eradigator,,,,,,
Adept,Mercenary,"In a While, Crocodile!",,,,,,
Adept,Mercenary,Crocodiles? Turtle? ...Crocturtle?!,,,,,,
Adept,Mercenary,Attack of the Turtle Tian!,,,,,,
Adept,Mercenary,The Silverfang,,,,,,
Adept,Mercenary,B-B-B-Behemoth!,,,,,,
Expert,Mercenary,Heavy Metal,,,,,,
Expert,Mercenary,Shocktastic!,,,,,,
Expert,Mercenary,Bladestorm,,,,,,
Expert,Mercenary,A Spiky Situation,,,,,,
Expert,Mercenary,A Prickly Pest,,,,,,
Expert,Mercenary,Thorn in my Side,,,,,,
Expert,Mercenary,A Tale of Two Thorns,,,,,,
Expert,Mercenary,A Course Encounter,,,,,,
Expert,Mercenary,The Pacifier,,,,,,
Expert,Mercenary,Grin and Bear It,,,,,,
Expert,Mercenary,Shadows in the Sand,,,,,,
Master,Mercenary,Eruption!,,,,,,
Master,Mercenary,"Copycat, Copycat...",,,,,,
Master,Mercenary,Déjà vu,,,,,,
Master,Mercenary,Master of Mimicry,,,,,,
Master,Mercenary,What's in the Box?,,,,,,
Master,Mercenary,Box Breaker,,,,,,
Master,Mercenary,The Boxer,,,,,,
Master,Mercenary,Mantis-y Life,,,,,,
Master,Mercenary,Preying on the Mantis,,,,,,
Master,Mercenary,Matins Mania,,,,,,
Master,Mercenary,The Hunter Becomes the Hunted,,,,,,
Master,Mercenary,Beware the Killer Cacto,,,,,,
Master,Mercenary,Look Sharp!,,,,,,
Master,Mercenary,Cactus if you Can,,,,,,
Master,Mercenary,Bamboo-zled,,,,,,
Master,Mercenary,Panda to the Crowd,,,,,,
Master,Mercenary,Rampant Pandalism,,,,,,
Master,Mercenary,Death's Envoy,,,,,,
Master,Mercenary,Defeat the Chimera!,,,,,,
Master,Mercenary,Hero of the Skies,,,,,,
Master,Mercenary,The Beast Within,,,,,,
Hero,Mercenary,Dino Hunter,,,,,,
Hero,Mercenary,Shark in the Dark,,,,,,
Creator,Mercenary,The Roots of Life,,,,,,DLC
Creator,Mercenary,Toxic Waters,,,,,,DLC
Creator,Mercenary,Spirit of the Sands,,,,,,DLC
Creator,Mercenary,Shells of Steel,,,,,,DLC
Creator,Mercenary,The Walking Fortress,,,,,,DLC
Creator,Mercenary,The Demonic Beast,,,,,,DLC
Fledgling,Hunter,Shoot that Piercing Arrow,,,,,,
Fledgling,Hunter,First Woolie,,,,,,
Fledgling,Hunter,Hunting for Woolies,,,,,,
Fledgling,Hunter,First Bee,,,,,,
Fledgling,Hunter,Shooting Down Bees,,,,,,
Fledgling,Hunter,First Road Runner,,,,,,
Fledgling,Hunter,Haunting Road Runners,,,,,,
Fledgling,Hunter,First Wolf,,,,,,
Fledgling,Hunter,Wolf Takedown,,,,,,
Fledgling,Hunter,First Coyote,,,,,,
Fledgling,Hunter,Chase Down Coyotes,,,,,,
Fledgling,Hunter,Sweet Reward,,,,,,
Apprentice,Hunter,Scattershot Skills,,,,,,
Apprentice,Hunter,First Black Woolie,,,,,,
Apprentice,Hunter,Stalking Black Woolies,,,,,,
Apprentice,Hunter,First Buffalo,,,,,,
Apprentice,Hunter,Big Catch of Buffalo,,,,,,
Apprentice,Hunter,First Cave Bat,,,,,,
Apprentice,Hunter,Bringing Down the Bats,,,,,,
Apprentice,Hunter,Stalk a Hootwink,,,,,,
Apprentice,Hunter,Hootwink Hunt,,,,,,
Apprentice,Hunter,First Bull,,,,,,
Apprentice,Hunter,Bow Hunt for Bulls,,,,,,
Apprentice,Hunter,Attack of the Killer Bunny,,,,,,
Apprentice,Hunter,First Black Panther,,,,,,
Adept,Hunter,First Cashmeer,,,,,,
Adept,Hunter,A Trio of Cashmeer,,,,,,
Adept,Hunter,First Panther,,,,,,
Adept,Hunter,Panther Pursuit,,,,,,
Adept,Hunter,First Jackal,,,,,,
Adept,Hunter,Jumping Jackals,,,,,,
Adept,Hunter,First Dark Bat,,,,,,
Adept,Hunter,Prowling for Bats,,,,,,
Adept,Hunter,First Snow Runner,,,,,,
Adept,Hunter,Trudging for Runners,,,,,,
Adept,Hunter,First Snowflake Bunny,,,,,,
Adept,Hunter,Bring Down the Bunnies,,,,,,
Adept,Hunter,First Taurus,,,,,,
Adept,Hunter,The Horned Menace,,,,,,
Adept,Hunter,The Biggest of Beaks,,,,,,
Adept,Hunter,Honey from On High,,,,,,
Expert,Hunter,Dancing Arrows,,,,,,
Expert,Hunter,First Hootlum,,,,,,
Expert,Hunter,Hootlum Havoc,,,,,,
Expert,Hunter,First Pterodactyl,,,,,,
Expert,Hunter,Ptero Times Five,,,,,,
Expert,Hunter,First Snow Leopard,,,,,,
Expert,Hunter,Spotting the Leopards,,,,,,
Expert,Hunter,First Glaciowl,,,,,,
Expert,Hunter,Cracking the Glaciowls,,,,,,
Expert,Hunter,First Sand Runner,,,,,,
Expert,Hunter,Sand Runner Safari,,,,,,
Expert,Hunter,First Silverwing,,,,,,
Expert,Hunter,Silver Showdown,,,,,,
Expert,Hunter,Sting Before Stung,,,,,,
Expert,Hunter,The Night Watch,,,,,,
Expert,Hunter,Survive a Blizzard,,,,,,
Expert,Hunter,The Sweet Life,,,,,,
Master,Hunter,Stormcaller,,,,,,
Master,Hunter,First Nightmare Bat,,,,,,
Master,Hunter,Stopping the Nightmares,,,,,,
Master,Hunter,Staking the Bats,,,,,,
Master,Hunter,Bloodthirsty Work,,,,,,
Master,Hunter,First Mothoon,,,,,,
Master,Hunter,Multitude of Mothoons,,,,,,
Master,Hunter,First Flame Moth,,,,,,
Master,Hunter,Flame Moth Frenzy,,,,,,
Master,Hunter,First Bunny Killer,,,,,,
Master,Hunter,Island Protector,,,,,,
Master,Hunter,Fall of the Queen,,,,,,
Master,Hunter,Thunderflap,,,,,,
Hero,Hunter,Howling in the Shadows,,,,,,
Hero,Hunter,Howling in the Depths,,,,,,
Hero,Hunter,Wings of Darkness,,,,,,
Creator,Hunter,Nectar of the Gods,,,,,,DLC
Creator,Hunter,Horn of the Gods,,,,,,DLC
Creator,Hunter,The Undying Predator,,,,,,DLC
Creator,Hunter,Penguin Prince,,,,,,DLC
Creator,Hunter,Penguin Princess,,,,,,DLC
Creator,Hunter,The Divine Bird,,,,,,DLC
Fledgling,Magician,Fire Power,,,,,,
Fledgling,Magician,Water Power,,,,,,
Fledgling,Magician,Wind Power,,,,,,
Fledgling,Magician,Weed Killer,,,,,,
Fledgling,Magician,Weed Out the Weedlings,,,,,,
Fledgling,Magician,Cobalt-Hearted Killer,,,,,,
Fledgling,Magician,Cobalt Conquest,,,,,,
Fledgling,Magician,The Skullblob Job,,,,,,
Fledgling,Magician,Spooky Specter,,,,,,
Apprentice,Magician,Master of Fire,,,,,,
Apprentice,Magician,Master of Ice,,,,,,
Apprentice,Magician,Master of Wind,,,,,,
Apprentice,Magician,Froggy Fields Forever,,,,,,
Apprentice,Magician,Ferocious Frog Fight,,,,,,
Apprentice,Magician,Ribbit Gambit,,,,,,
Apprentice,Magician,Final Croak,,,,,,
Apprentice,Magician,Malignant Mushface,,,,,,
Apprentice,Magician,Mushface to Face,,,,,,
Apprentice,Magician,Quelling the Jelly,,,,,,
Apprentice,Magician,Mountain Jelly Melee,,,,,,
Apprentice,Magician,TIMMMBERRR!,,,,,,
Apprentice,Magician,Timber Tinder Takedown,,,,,,
Apprentice,Magician,Earthly Encounter,,,,,,
Apprentice,Magician,Earth Wraith Wrecker,,,,,,
Adept,Magician,Lava Drama,,,,,,
Adept,Magician,Ashes to Ashes,,,,,,
Adept,Magician,Fire-Breathing Fungus,,,,,,
Adept,Magician,Mushflame Massacre,,,,,,
Adept,Magician,Felling the Jelly,,,,,,
Adept,Magician,Jelly Warfare,,,,,,
Adept,Magician,Beat to the Punch,,,,,,
Adept,Magician,Pummeling Palms,,,,,,
Adept,Magician,Beat the Heat,,,,,,
Adept,Magician,Wind Chagrin,,,,,,
Adept,Magician,Ghost of a Chance,,,,,,
Adept,Magician,Snowpeak Spooky,,,,,,
Adept,Magician,Gust of Ghoul,,,,,,
Adept,Magician,Blaze of Glory,,,,,,
Expert,Magician,Playing with Fire,,,,,,
Expert,Magician,Blizzard Wizzard,,,,,,
Expert,Magician,Here Comes the Thunder,,,,,,
Expert,Magician,Shrub Shredder,,,,,,
Expert,Magician,Weedling Whacker,,,,,,
Expert,Magician,Bramble Scramble,,,,,,
Expert,Magician,Bramble Rumble,,,,,,
Expert,Magician,Deepsea Hostilities,,,,,,
Expert,Magician,Deadly Depths,,,,,,
Expert,Magician,Toxic Threat,,,,,,
Expert,Magician,Poison Cubed,,,,,,
Expert,Magician,In Deep Water,,,,,,
Expert,Magician,Shadow Showdown,,,,,,
Expert,Magician,King of the Deep,,,,,,
Expert,Magician,Wraith Wrath,,,,,,
Expert,Magician,Forest Foe,,,,,,
Master,Magician,Seeing Stars,,,,,,
Master,Magician,Isle Get You!,,,,,,
Master,Magician,Pedal to the Metal,,,,,,
Master,Magician,Deep Frog Driving,,,,,,
Master,Magician,Croaking Red,,,,,,
Master,Magician,Sandslime,,,,,,
Master,Magician,Dust to Dust,,,,,,
Master,Magician,Terror of the Sky,,,,,,
Master,Magician,Reign of Terror,,,,,,
Master,Magician,Light's Out,,,,,,
Master,Magician,Your Fate Is Sealed,,,,,,
Master,Magician,Frightening Lightning,,,,,,
Hero,Magician,Calamity Pain,,,,,,
Creator,Magician,Island Rainbow,,,,,,DLC
Creator,Magician,Whisper in the Dark,,,,,,DLC
Creator,Magician,Wisper of the Wind,,,,,,DLC
Creator,Magician,Wispering Flames,,,,,,DLC
Creator,Magician,Wisper on the Water,,,,,,DLC
Creator,Magician,Rainbow over an Ancient Isle,,,,,,DLC
Fledgling,Miner,Miner SMAAAAASH!,,,,,,
Fledgling,Miner,Castele,,,,,,
Fledgling,Miner,Don't Stop Minin'!,,,,,,
Fledgling,Miner,Topaz Trouble,,,,,,
Fledgling,Miner,Haniwa Shuffle,,,,,,
Fledgling,Miner,Mellow Yellow,,,,,,
Fledgling,Miner,Rock Hard Lemon,,,,,,
Fledgling,Miner,An After Mining Mint,,,,,,
Fledgling,Miner,Rocky Path,,,,,,
Apprentice,Miner,Ore Breaker,,,,,,
Apprentice,Miner,Plains Iron,,,,,,
Apprentice,Miner,Ironing Things Out,,,,,,
Apprentice,Miner,Don't Forget to Be Ore-Some,,,,,,
Apprentice,Miner,H2Awesome!,,,,,,
Apprentice,Miner,Feeling a Little Blue,,,,,,
Apprentice,Miner,Out of the Blue,,,,,,
Apprentice,Miner,Refreshingly Though!,,,,,,
Apprentice,Miner,Pebbles in the Wind,,,,,,
Apprentice,Miner,"Ho, Ho! A Miner's Life for Me!",,,,,,
Adept,Miner,Port Puerto,,,,,,
Adept,Miner,Slip Me Some Silver,,,,,,
Adept,Miner,Ocean Ore,,,,,,
Adept,Miner,Ocean's Bounty,,,,,,
Adept,Miner,"Is it Hot Here, Ore Is It Just Me?",,,,,,
Adept,Miner,Cavern's Bounty,,,,,,
Adept,Miner,Like a Grape but NOT!,,,,,,
Adept,Miner,Pretty in... Purple?,,,,,,
Adept,Miner,Royal Ruby,,,,,,
Adept,Miner,Ruby Red,,,,,,
Adept,Miner,The Dreamstone,,,,,,
Adept,Miner,Violet Attack,,,,,,
Adept,Miner,Water Wings,,,,,,
Adept,Miner,Dragon Scab Scramble,,,,,,
Adept,Miner,Pickaxe the Pace!,,,,,,
Expert,Miner,Bust Some Ore!,,,,,,
Expert,Miner,Al Maajik Gold,,,,,,
Expert,Miner,Gleaming Gold,,,,,,
Expert,Miner,The Hip Bone's Connected to...?,,,,,,
Expert,Miner,The Bone Collector,,,,,,
Expert,Miner,Bone-a-Fide Expert!,,,,,,
Expert,Miner,Sand Rocks!,,,,,,
Expert,Miner,Mean Green,,,,,,
Expert,Miner,Green With Envy,,,,,,
Expert,Miner,Wings of Fire,,,,,,
Expert,Miner,Earthy Wings,,,,,,
Expert,Miner,Ancient History,,,,,,
Expert,Miner,300th Time's a Charm,,,,,,
Master,Miner,Push It to the Limit,,,,,,
Master,Miner,Playing with Platinum,,,,,,
Master,Miner,Take It to the Top,,,,,,
Master,Miner,Simply Enchanting!,,,,,,
Master,Miner,Arcane Minerals,,,,,,
Master,Miner,Sapphire Saver,,,,,,
Master,Miner,Bathed in Blue,,,,,,
Master,Miner,"Gather, Ye Darkness!",,,,,,
Master,Miner,I'll Get Right Onyx!,,,,,,
Master,Miner,Have a Little Heart,,,,,,
Master,Miner,Miner 4 Life,,,,,,
Hero,Miner,Celestial Ore,,,,,,
Hero,Miner,The Sky's The Limit,,,,,,
Hero,Miner,Diamond,,,,,,
Hero,Miner,You Mined HOW Much?!,,,,,,
Creator,Miner,Swinging in the Dark,,,,,,DLC
Creator,Miner,Pitch Black,,,,,,DLC
Creator,Miner,Mine It White Now!,,,,,,DLC
Creator,Miner,Blindingly Brilliant Rocks,,,,,,DLC
Creator,Miner,Who Turned Out the Lights?,,,,,,DLC
Creator,Miner,Holy Stones!,,,,,,DLC
Fledgling,Woodcutter,Chop Chop,,,,,,
Fledgling,Woodcutter,Oak's on You,,,,,,
Fledgling,Woodcutter,Strong as Oak,,,,,,
Fledgling,Woodcutter,Going for Oak,,,,,,
Fledgling,Woodcutter,Aged to Perfection,,,,,,
Fledgling,Woodcutter,Elder and Wiser,,,,,,
Apprentice,Woodcutter,Charge It,,,,,,
Apprentice,Woodcutter,A Pine Reward,,,,,,
Apprentice,Woodcutter,Pining Away,,,,,,
Apprentice,Woodcutter,Pine Pro,,,,,,
Apprentice,Woodcutter,Aged like a Fine Pine,,,,,,
Apprentice,Woodcutter,Pine Pappy,,,,,,
Apprentice,Woodcutter,Pine Solved,,,,,,
Apprentice,Woodcutter,Fifty Felled,,,,,,
Apprentice,Woodcutter,Sacred Harvest,,,,,,
Adept,Woodcutter,Palm Down,,,,,,
Adept,Woodcutter,Port Cuts,,,,,,
Adept,Woodcutter,Pile o' Palms,,,,,,
Adept,Woodcutter,Precious Palm,,,,,,
Adept,Woodcutter,Palm Trio,,,,,,
Adept,Woodcutter,Palm It Off,,,,,,
Adept,Woodcutter,Taste of Sugar,,,,,,
Adept,Woodcutter,Sap Happy,,,,,,
Adept,Woodcutter,Sweet Success,,,,,,
Adept,Woodcutter,Sugar Buzz,,,,,,
Adept,Woodcutter,Sugar Stash,,,,,,
Adept,Woodcutter,Sappy Ending,,,,,,
Adept,Woodcutter,Elderwood's Eldest,,,,,,
Expert,Woodcutter,Axcellent!,,,,,,
Expert,Woodcutter,Digging Deep,,,,,,
Expert,Woodcutter,Lumber from Down Under,,,,,,
Expert,Woodcutter,Water Logged,,,,,,
Expert,Woodcutter,Old Sand,,,,,,
Expert,Woodcutter,Cut and Dried,,,,,,
Expert,Woodcutter,Grand Sand,,,,,,
Expert,Woodcutter,Snow Easy Task,,,,,,
Expert,Woodcutter,Timbrrrr!,,,,,,
Expert,Woodcutter,Ten Fir 10,,,,,,
Expert,Woodcutter,Fir Believer,,,,,,
Expert,Woodcutter,Fir Sure,,,,,,
Expert,Woodcutter,Final Fir,,,,,,
Expert,Woodcutter,Fire Sale,,,,,,
Expert,Woodcutter,Making a Splash,,,,,,
Master,Woodcutter,Charge 'n' Chop,,,,,,
Master,Woodcutter,Meet the Mangroves,,,,,,
Master,Woodcutter,Mangrove Trove,,,,,,
Master,Woodcutter,Mangrove Madness,,,,,,
Master,Woodcutter,Old Mangrove,,,,,,
Master,Woodcutter,Mangrove Master,,,,,,
Master,Woodcutter,Manly Mangrove,,,,,,
Master,Woodcutter,Lone Star,,,,,,
Master,Woodcutter,Star Me Up,,,,,,
Master,Woodcutter,Supernova,,,,,,
Master,Woodcutter,Star Struck,,,,,,
Master,Woodcutter,Three Peat,,,,,,
Master,Woodcutter,Solar Flair,,,,,,
Master,Woodcutter,Down Wind,,,,,,
Master,Woodcutter,Terrifying Timber,,,,,,
Hero,Woodcutter,Touch the Sky,,,,,,
Hero,Woodcutter,Sky Five,,,,,,
Hero,Woodcutter,Sky's the Limit,,,,,,
Hero,Woodcutter,Sky Sage,,,,,,
Hero,Woodcutter,Wise Skies,,,,,,
Hero,Woodcutter,Clearing the Air,,,,,,
Hero,Woodcutter,Axe to the Max,,,,,,
Hero,Woodcutter,Sky Spirit,,,,,,
Creator,Woodcutter,Divine Tree Hunter,,,,,,DLC
Creator,Woodcutter,Sacred Trees,,,,,,DLC
Creator,Woodcutter,Gotta Getta Gigaga Log,,,,,,DLC
Creator,Woodcutter,Lotta Gigaga Logs,,,,,,DLC
Creator,Woodcutter,Gigatrees,,,,,,DLC
Creator,Woodcutter,The Tree to End All Trees,,,,,,DLC
Fledgling,Angler,Counter Hook!,,,,,,
Fledgling,Angler,First Batch of Fish,,,,,,
Fledgling,Angler,Crucian Expert,,,,,,
Fledgling,Angler,Your First Carp,,,,,,
Fledgling,Angler,A Haul of Carp,,,,,,
Fledgling,Angler,Your First Sweetfish,,,,,,
Fledgling,Angler,School of Sweetfish,,,,,,
Fledgling,Angler,What a Trophy!,,,,,,
Fledgling,Angler,A Juicy Catch,,,,,,
Apprentice,Angler,Pull It Quickly,,,,,,
Apprentice,Angler,Your First Eel,,,,,,
Apprentice,Angler,An Armful of Eels,,,,,,
Apprentice,Angler,Your First Elderwood Trout,,,,,,
Apprentice,Angler,A Haul of Elderwood Trout,,,,,,
Apprentice,Angler,Your First Catfish,,,,,,
Apprentice,Angler,A Cache of Catfish,,,,,,
Apprentice,Angler,The Rare Rainbow,,,,,,
Apprentice,Angler,Lord of the Forest,,,,,,
Adept,Angler,First Puerto Bream,,,,,,
Adept,Angler,Brimming with Breams,,,,,,
Adept,Angler,Yar!,,,,,,
Adept,Angler,Small Fry of the Sea,,,,,,
Adept,Angler,Big Catch of Small Fry,,,,,,
Adept,Angler,Tuna Surprise,,,,,,
Adept,Angler,First Flying Fish,,,,,,
Adept,Angler,Squadron of Fish,,,,,,
Adept,Angler,First Puffer Fish,,,,,,
Adept,Angler,Payload of Puffers,,,,,,
Adept,Angler,First Redgill,,,,,,
Adept,Angler,Finger-Burning Redgills,,,,,,
Adept,Angler,First Lava Prawn,,,,,,
Adept,Angler,Scalded Prawns,,,,,,
Adept,Angler,Scorching Catch,,,,,,
Adept,Angler,Draw Your Sword,,,,,,
Adept,Angler,Torched Tuna,,,,,,
Expert,Angler,Extra Focused,,,,,,
Expert,Angler,First Sandfish,,,,,,
Expert,Angler,A School of Sandfish,,,,,,
Expert,Angler,First Black Bass,,,,,,
Expert,Angler,Bundle of Bass,,,,,,
Expert,Angler,First Desert Tuna,,,,,,
Expert,Angler,Duneful of Tuna,,,,,,
Expert,Angler,First Squid,,,,,,
Expert,Angler,Squid Quidtuple,,,,,,
Expert,Angler,First Prawn,,,,,,
Expert,Angler,Plenty of Prawns,,,,,,
Expert,Angler,First Smelt,,,,,,
Expert,Angler,Melting Smelts,,,,,,
Expert,Angler,First Icy Squid,,,,,,
Expert,Angler,Chilly Catch,,,,,,
Expert,Angler,Sun Protection,,,,,,
Expert,Angler,A Vicious Carp,,,,,,
Expert,Angler,Coldwater Tuna Time,,,,,,
Expert,Angler,Lord of the Deep Sea,,,,,,
Expert,Angler,The Darkness Within,,,,,,
Master,Angler,First Love,,,,,,
Master,Angler,First Electric Eel,,,,,,
Master,Angler,Electrifying Experience,,,,,,
Master,Angler,First Cave Catfish,,,,,,
Master,Angler,Herding Catfish,,,,,,
Master,Angler,Keep Going with the Flow,,,,,,
Master,Angler,Swimming Cactus,,,,,,
Master,Angler,A Flaky Fish,,,,,,
Master,Angler,Lord of the Subterranean Lake,,,,,,
Hero,Angler,First Sky Sardine,,,,,,
Hero,Angler,Terra Nimbus Sardine Squad,,,,,,
Hero,Angler,First Floaty Puffer Fish,,,,,,
Hero,Angler,Pop Five Floaters,,,,,,
Hero,Angler,Worth Its Weight in Gold,,,,,,
Hero,Angler,Land a High Flier,,,,,,
Creator,Angler,Royal Whiskers,,,,,,DLC
Creator,Angler,Living Fossils,,,,,,DLC
Creator,Angler,Angel Kiss,,,,,,DLC
Creator,Angler,Follow the Rainbow,,,,,,DLC
Creator,Angler,The Wickedest Tuna,,,,,,DLC
Creator,Angler,The Creator of All Fish,,,,,,DLC
Fledgling,Cook,A Basic Egg,,,,,,
Fledgling,Cook,Grill Some Meat!,,,,,,
Fledgling,Cook,Fry Some Fish,,,,,,
Fledgling,Cook,Serve Up Veggie Soup,,,,,,
Fledgling,Cook,Fish Up Some Soup,,,,,,
Fledgling,Cook,Quality Mutton,,,,,,
Fledgling,Cook,Roll Out That Egg,,,,,,
Fledgling,Cook,Apple Juicer,,,,,,
Fledgling,Cook,Fledgling Excellence,,,,,,
Fledgling,Cook,A Hearty Winter Stew,,,,,,
Apprentice,Cook,Rustle Up Some Burgers,,,,,,
Apprentice,Cook,Fish with Rustic Flair,,,,,,
Apprentice,Cook,Eggsperptly Fried,,,,,,
Apprentice,Cook,A Stew of Veggies,,,,,,
Apprentice,Cook,The Perfect Omelet,,,,,,
Apprentice,Cook,A Quiche of Quality,,,,,,
Apprentice,Cook,A Most Delightful Chicken,,,,,,
Apprentice,Cook,Cook Up a Fish Head,,,,,,
Apprentice,Cook,Sashimi Times Three,,,,,,
Apprentice,Cook,Triple Quiche Special,,,,,,
Apprentice,Cook,Boil Those Veggies,,,,,,
Apprentice,Cook,Nutty Mutton,,,,,,
Apprentice,Cook,Apprentice Excellence,,,,,,
Apprentice,Cook,A Superlative Soup,,,,,,
Apprentice,Cook,Perfect Those Veggies,,,,,,
Adept,Cook,Poultry Pairing on Rice,,,,,,
Adept,Cook,Bursting with Southern Flavors,,,,,,
Adept,Cook,Sardine Special,,,,,,
Adept,Cook,Taste of Summer,,,,,,
Adept,Cook,Gratin Times Three,,,,,,
Adept,Cook,Plenty of Pudding,,,,,,
Adept,Cook,Smoking-Hot Prawn,,,,,,
Adept,Cook,Juice of the Wood,,,,,,
Adept,Cook,Dino-Dish Rampage,,,,,,
Adept,Cook,Slippery Meal,,Angler,,,,
Adept,Cook,Sushi Expert,,,,,,
Adept,Cook,Sunny-Side Up,,,,,,
Adept,Cook,Cornucopia on the Cob,,,,,,
Adept,Cook,Adept Deliciousness,,,,,,
Adept,Cook,Cabbage on a Roll,,,,,,
Expert,Cook,Sizzling Soup,,Angler,,,,
Expert,Cook,Expert Desserts,,,,,,
Expert,Cook,Enchanting Omelet,,,,,,
Expert,Cook,Pies Aplenty,,,,,,
Expert,Cook,Abracadabra-a Milkshake!,,,,,,
