Region,Source,Bounty,Item,Rarity,Rank,Special Request,DLC
West Levitania,Great Skytree,Great Skytree Bounty,400 Dosh,,Hero,,
West Levitania,Celestial Tree,Celestial Tree Bounty,Celestial Leaf,95%,Hero,,
West Levitania,Celestial Tree,Celestial Tree Bounty,Goddess's Axe,5%,Hero,,
West Levitania,Celestial Tree,Celestial Tree Bounty,2500 Dosh,,Hero,,
Central Grassland,Gigaga Tree,,Gigaga Log,Very Common,Creator,,DLC
Central Grassland,Great Gigaga Tree,,Gigaga Log,Very Common,Creator,,DLC
Central Grassland,Giga Gigaga Tree,,Gigaga Log,Very Common,Creator,,DLC
Central Grassland,Giga Gigaga Tree,,Giga Gigaga Log,Very Rare,Creator,,DLC
Central Grassland,Giga Gigaga Tree,Giga Gigaga Tree Bounty,Giga Gigaga Log,80%,Creator,,DLC
Central Grassland,Giga Gigaga Tree,Giga Gigaga Tree Bounty,Yggdrasil Branch,20%,Creator,,DLC
Central Grassland,Giga Gigaga Tree,Giga Gigaga Tree Bounty,3000 Dosh,,Creator,,DLC
Forest Shrine,Divine Tree,,Divine Log,Very Common,Creator,,DLC
Forest Shrine,Great Divine Tree,,Divine Log,Very Common,Creator,,DLC
Forest Shrine,Ancient Divine Tree,,Divine Log,Very Common,Creator,,DLC
Forest Shrine,Ancient Divine Tree,,Giant Divine Log,Very Rare,Creator,,DLC
Forest Shrine,Ancient Divine Tree,Ancient Divine Tree Bounty,Giant Divine Log,80%,Creator,,DLC
Forest Shrine,Ancient Divine Tree,Ancient Divine Tree Bounty,Yggdrasil Branch,20%,Creator,,DLC
Forest Shrine,Ancient Divine Tree,Ancient Divine Tree Bounty,4000 Dosh,,Creator,,DLC
