Group,Region,Shop,Item Name,Dosh,Requirement
Castele,Castele Square,Castele Fine Arms,Bronze Claymore,1100,
Castele,Castele Square,Castele Fine Arms,Iron Claymore,1800,Bliss
Castele,Castele Square,Castele Fine Arms,Hunter's Bow,400,
Castele,Castele Square,Castele Fine Arms,Oak Bow,1200,
Castele,Castele Square,Castele Fine Arms,Pine Bow,1800,Bliss
Castele,Castele Square,Castele Fine Arms,Novice's Staff,400,
Castele,Castele Square,Castele Fine Arms,Oak Staff,1500,
Castele,Castele Square,Castele Fine Arms,Pine Staff,2500,Bliss
Castele,Castele Square,Castele Fine Arms,Paladin's Shield,400,
Castele,Castele Square,Castele Fine Arms,Bronze Shield,1600,
Castele,Castele Square,Castele Fine Arms,Iron Shield,2000,Bliss
Castele,Castele Square,Castele Fine Arms,Leather Armor,800,
Castele,Castele Square,Castele Fine Arms,Iron Armor,1200,Bliss
Castele,Castele Square,Castele Fine Arms,Leather Leggings,800,
Castele,Castele Square,Castele Fine Arms,Iron Leg Guards,1200,Bliss
Castele,Castele Square,Castele Fine Arms,Leather Cap,960,
Castele,Castele Square,Castele Fine Arms,Iron Helm,1000,Bliss
Castele,Castele Square,Castele Fine Arms,Leather Gauntlets,480,
Castele,Castele Square,Castele Fine Arms,Iron Gauntlets,840,Bliss
Castele,Castele Square,Castele Fine Arms,Leather Boots,480,
Castele,Castele Square,Castele Fine Arms,Iron Boots,840,Bliss
Castele,Castele Square,Castele Furniture Store,Pink Dining Table,500,Bliss
Castele,Castele Square,Castele Furniture Store,Green Dining Table,500,
Castele,Castele Square,Castele Furniture Store,Wooden Dining Table,2400,
Castele,Castele Square,Castele Furniture Store,Wooden Low Table,2800,
Castele,Castele Square,Castele Furniture Store,Pink Chair,400,Bliss
Castele,Castele Square,Castele Furniture Store,Green Chair,400,
Castele,Castele Square,Castele Furniture Store,Wooden Chair,600,
Castele,Castele Square,Castele Furniture Store,Wooden Sofa,2800,
Castele,Castele Square,Castele Furniture Store,Wooden Wardrobe,1500,
Castele,Castele Square,Castele Furniture Store,Wooden Chest,2000,
Castele,Castele Square,Castele Furniture Store,Wooden Cabinet,2000,
Castele,Castele Square,Castele Furniture Store,Pink Bed,800,Bliss
Castele,Castele Square,Castele Furniture Store,Green Bed,800,
Castele,Castele Square,Castele Furniture Store,Wooden Bed,2400,
Castele,Castele Square,Castele Furniture Store,Simple Curtains,800,
Castele,Castele Square,Castele Furniture Store,Castele Curtains,960,
Castele,Castele Square,Castele Furniture Store,Simple Carpet,2000,
Castele,Castele Square,Castele Furniture Store,Woven Castele Rug,3000,
Castele,Castele Square,Castele Furniture Store,Simple Mat,1000,
Castele,Castele Square,Castele Furniture Store,Woven Castele Mat,3000,
Castele,Castele Square,Castele Furniture Store,Simple Wall: Peach,1200,Bliss
Castele,Castele Square,Castele Furniture Store,Simple Wall: Green,1200,
Castele,Castele Square,Castele Furniture Store,Wooden Wall,400,
Castele,Castele Square,Castele Furniture Store,Traditional Castele Wall,2000,Bliss
Castele,Castele Square,Castele Furniture Store,Simple Floor: Peach,1200,Bliss
Castele,Castele Square,Castele Furniture Store,Simple Floor: Green,1200,
Castele,Castele Square,Castele Furniture Store,Wooden Floor,2400,
Castele,Castele Square,Castele Furniture Store,Brick Floor,4000,Bliss
Castele,Castele Square,Castele Furniture Store,Terracotta Floor,15000,Bliss
Castele,Castele Square,Castele Furniture Store,Umbrella Tree,800,
Castele,Castele Square,Castele Furniture Store,Smiley Flower,2000,Bliss
Castele,Castele Square,Castele Furniture Store,Candle,1600,
Castele,Castele Square,Castele Furniture Store,Teddy Bear,1800,
Castele,Castele Square,Castele Furniture Store,Basket,600,
Castele,Castele Square,Castele Furniture Store,Wooden Box,960,
Castele,Castele Square,Castele Furniture Store,Rubbish Bin,400,
Castele,Castele Square,Castele General Goods,Healweed,10,
Castele,Castele Square,Castele General Goods,HP Potion,60,
Castele,Castele Square,Castele General Goods,Hi-HP Potion,320,Bliss
Castele,Castele Square,Castele General Goods,Vitalweed,30,
Castele,Castele Square,Castele General Goods,SP Potion,120,
Castele,Castele Square,Castele General Goods,Hi-SP Potion,440,Bliss
Castele,Castele Square,Castele General Goods,Poison Antidote,120,
Castele,Castele Square,Castele General Goods,Stun Antidote,160,
Castele,Castele Square,Castele General Goods,Sleep Antidote,200,
Castele,Castele Square,Castele General Goods,Panacea,1800,Bliss
Castele,Castele Square,Castele General Goods,Life Cure,1500,
Castele,Castele Square,Castele General Goods,Mini Bomb,300,
Castele,Castele Square,Castele General Goods,Sleep Bomb,800,Bliss
Castele,Castele Square,Castele General Goods,Bronze Pickaxe,1000,
Castele,Castele Square,Castele General Goods,Iron Pickaxe,1800,Bliss
Castele,Castele Square,Castele General Goods,Oak Axe,1050,
Castele,Castele Square,Castele General Goods,Pine Axe,1900,Bliss
Castele,Castele Square,Castele General Goods,Guppy Rod,400,
Castele,Castele Square,Castele General Goods,Oak Rod,900,
Castele,Castele Square,Castele General Goods,Pine Rod,1600,Bliss
Castele,Castele Square,Castele General Goods,Bronze Hammer,1160,
Castele,Castele Square,Castele General Goods,Iron Hammer,2100,Bliss
Castele,Castele Square,Castele General Goods,Oak Saw,1100,
Castele,Castele Square,Castele General Goods,Pine Saw,1980,Bliss
Castele,Castele Square,Castele General Goods,Bronze Needle,800,
Castele,Castele Square,Castele General Goods,Iron Needle,1440,Bliss
Castele,Castele Square,Castele General Goods,Bronze Frying Pan,840,
Castele,Castele Square,Castele General Goods,Iron Frying Pan,1520,Bliss
Castele,Castele Square,Castele General Goods,Science Flask,2800,
Castele,Castele Square,Castele General Goods,Inventor's Flask,3400,Bliss
Castele,Castele Square,Castele General Goods,Teddy Bear,1800,
Castele,Castele Square,Castele Fashion Boutique,Castele Blouse,420,
Castele,Castele Square,Castele Fashion Boutique,Castele Shirt,420,
Castele,Castele Square,Castele Fashion Boutique,Highland Top,800,
Castele,Castele Square,Castele Fashion Boutique,Artisan's Apron,1800,
Castele,Castele Square,Castele Fashion Boutique,Duelling Outfit,2600,Bliss
Castele,Castele Square,Castele Fashion Boutique,Quilted Coat,2400,Bliss
Castele,Castele Square,Castele Fashion Boutique,Castele Skirt,600,
Castele,Castele Square,Castele Fashion Boutique,Striped Skirt,1800,Bliss
Castele,Castele Square,Castele Fashion Boutique,Sunshine Skirt,2000,
Castele,Castele Square,Castele Fashion Boutique,Castele Slacks,600,
Castele,Castele Square,Castele Fashion Boutique,Highland Kilt,800,
Castele,Castele Square,Castele Fashion Boutique,Artisan's Puffy Shorts,1600,
Castele,Castele Square,Castele Fashion Boutique,Duelling Bottoms,2200,Bliss
Castele,Castele Square,Castele Fashion Boutique,Quilted Bottoms,2000,Bliss
Castele,Castele Square,Castele Fashion Boutique,Formal Trousers,16000,Bliss
Castele,Castele Square,Castele Fashion Boutique,Highland Beret,480,
Castele,Castele Square,Castele Fashion Boutique,Artisan's Hat,1400,
Castele,Castele Square,Castele Fashion Boutique,Quilted Hat,1400,Bliss
Castele,Castele Square,Castele Fashion Boutique,Artisan's Mitts,1200,
Castele,Castele Square,Castele Fashion Boutique,Quilted Mittens,1380,Bliss
Castele,Castele Square,Castele Fashion Boutique,Lowtop Shoes,480,
Castele,Castele Square,Castele Fashion Boutique,Highland Loafers,800,
Castele,Castele Square,Castele Fashion Boutique,Artisan's Shoes,1200,
Castele,Castele Square,Castele Fashion Boutique,Duelling Boots,2000,Bliss
Castele,Castele Square,Castele Fashion Boutique,Quilted Boots,1200,Bliss
Castele,Castele Square,Castele Fashion Boutique,Castele Heels,12000,Bliss
Castele,Castele Square,Castele Fashion Boutique,Cape,800,
Castele,Castele Square,Castele Fashion Boutique,Round Specs,6300,
Castele,Castele Square,Castele Fashion Boutique,Charm,720,
Castele,Castele Artisan's District,Castele Buttonhook,Dandelion Puff,10,
Castele,Castele Artisan's District,Castele Buttonhook,Straw Thread,40,
Castele,Castele Artisan's District,Castele Buttonhook,Sheep Fleece,40,
Castele,Castele Artisan's District,Castele Buttonhook,Dandelion Cotton,40,
Castele,Castele Artisan's District,Castele Buttonhook,Woven Straw Fabric,160,
Castele,Castele Artisan's District,Castele Buttonhook,Wool,160,Bliss
Castele,Castele Artisan's District,Castele Buttonhook,Wooden Buttons,40,
Castele,Castele Artisan's District,Castele Buttonhook,Metal Buttons,80,Bliss
Castele,Castele Artisan's District,Castele Buttonhook,Cute Ribbon,40,
Castele,Castele Artisan's District,Castele Buttonhook,Fancy Ribbon,80,Bliss
Castele,Castele Artisan's District,Castele Buttonhook,String,40,
Castele,Castele Artisan's District,Castele Buttonhook,Training Needle,400,
Castele,Castele Artisan's District,Castele Buttonhook,Bronze Needle,800,
Castele,Castele Artisan's District,Castele Buttonhook,Iron Needle,1440,Bliss
Castele,Castele Artisan's District,Castele Woods & Leather,Oak Log,60,
Castele,Castele Artisan's District,Castele Woods & Leather,Pine Log,80,
Castele,Castele Artisan's District,Castele Woods & Leather,Elder Oak Log,360,Bliss
Castele,Castele Artisan's District,Castele Woods & Leather,Pine Nuts,20,
Castele,Castele Artisan's District,Castele Woods & Leather,Oak Beam,120,
Castele,Castele Artisan's District,Castele Woods & Leather,Pine Beam,240,
Castele,Castele Artisan's District,Castele Woods & Leather,Leather String,80,
Castele,Castele Artisan's District,Castele Woods & Leather,Animal Hide,120,
Castele,Castele Artisan's District,Castele Woods & Leather,Worn Axe,400,
Castele,Castele Artisan's District,Castele Woods & Leather,Oak Axe,1050,
Castele,Castele Artisan's District,Castele Woods & Leather,Pine Axe,1900,Bliss
Castele,Castele Artisan's District,Castele Woods & Leather,Makeshift Saw,400,
Castele,Castele Artisan's District,Castele Woods & Leather,Oak Saw,1100,
Castele,Castele Artisan's District,Castele Woods & Leather,Pine Saw,1980,Bliss
Castele,Castele Artisan's District,Castele Ores & Metals,Castele Copper,40,
Castele,Castele Artisan's District,Castele Ores & Metals,Plains Iron,80,
Castele,Castele Artisan's District,Castele Ores & Metals,Minty Ore,40,
Castele,Castele Artisan's District,Castele Ores & Metals,Quality Minty Ore,80,Bliss
Castele,Castele Artisan's District,Castele Ores & Metals,Bronze Ingot,80,
Castele,Castele Artisan's District,Castele Ores & Metals,Iron Ingot,220,
Castele,Castele Artisan's District,Castele Ores & Metals,Yellow Stone,500,
Castele,Castele Artisan's District,Castele Ores & Metals,Blue Stone,1000,
Castele,Castele Artisan's District,Castele Ores & Metals,Topaz,1000,Bliss
Castele,Castele Artisan's District,Castele Ores & Metals,Beginner's Pickaxe,400,
Castele,Castele Artisan's District,Castele Ores & Metals,Bronze Pickaxe,1000,
Castele,Castele Artisan's District,Castele Ores & Metals,Iron Pickaxe,1800,Bliss
Castele,Castele Artisan's District,Castele Ores & Metals,Fledgling's Hammer,400,
Castele,Castele Artisan's District,Castele Ores & Metals,Bronze Hammer,1160,
Castele,Castele Artisan's District,Castele Ores & Metals,Iron Hammer,2100,Bliss
Castele,Castele Artisan's District,Castele Odds & Ends,Healweed,10,
Castele,Castele Artisan's District,Castele Odds & Ends,Vitalweed,30,
Castele,Castele Artisan's District,Castele Odds & Ends,Cureweed,20,
Castele,Castele Artisan's District,Castele Odds & Ends,Lifeweed,40,Bliss
Castele,Castele Artisan's District,Castele Odds & Ends,Spring Water,10,
Castele,Castele Artisan's District,Castele Odds & Ends,Forest Mushroom,20,Bliss
Castele,Castele Artisan's District,Castele Odds & Ends,Grassland Honey,10,Bliss
Castele,Castele Artisan's District,Castele Odds & Ends,Antidote Berries,10,
Castele,Castele Artisan's District,Castele Odds & Ends,Antistun Berries,20,
Castele,Castele Artisan's District,Castele Odds & Ends,Wakeup Berries,40,
Castele,Castele Artisan's District,Castele Odds & Ends,Castele Bloom,20,
Castele,Castele Artisan's District,Castele Odds & Ends,Combustible Powder,270,
Castele,Castele Artisan's District,Castele Odds & Ends,Little Tail,60,
Castele,Castele Artisan's District,Castele Odds & Ends,Animal Claws,40,
Castele,Castele Artisan's District,Castele Odds & Ends,Animal Fang,60,
Castele,Castele Artisan's District,Castele Odds & Ends,Green Gel,60,
Castele,Castele Artisan's District,Castele Odds & Ends,Suspicious Object,200,
Castele,Castele Artisan's District,Castele Odds & Ends,Animal Droppings,10,
Castele,Castele Artisan's District,Castele Odds & Ends,Experimental Flask,400,
Castele,Castele Artisan's District,Castele Odds & Ends,Science Flask,2800,
Castele,Castele Artisan's District,Castele Odds & Ends,Inventor's Flask,3400,Bliss
Castele,Castele Artisan's District,Appleseed Cafe,Apple Juice,100,
Castele,Castele Artisan's District,Appleseed Cafe,Mushroom Quiche,320,Bliss
Castele,Castele Artisan's District,Appleseed Cafe,Honey Pudding,300,
Castele,Castele Artisan's District,Appleseed Cafe,Castele Apple,20,
Castele,Castele Artisan's District,Appleseed Cafe,Sweet Potato Dessert,480,Bliss
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Grassland Honey,10,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Castele Apple,20,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Spring Water,10,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Healweed,10,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,HP Potion,60,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Vitalweed,30,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,SP Potion,120,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Life Cure,1500,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Poison Antidote,120,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Stun Antidote,160,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Sleep Antidote,200,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Mini Bomb,300,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Castele Copper,40,
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Topaz,1000,Bliss
Other,East Grassy Plains,East Grassy Plains Travelling Seller,Oak Log,60,
Other,West Grassy Plains,Farley's Plantation,Eggs,20,
Other,West Grassy Plains,Farley's Plantation,Royal Eggs,60,
Other,West Grassy Plains,Farley's Plantation,Cows' Milk,20,
Other,West Grassy Plains,Farley's Plantation,Extra Creamy Milk,60,Bliss
Other,West Grassy Plains,Farley's Plantation,Maajik Beans,20,
Other,West Grassy Plains,Farley's Plantation,Grassy Plains Barley,20,
Other,West Grassy Plains,Farley's Plantation,Port Rice,20,
Other,West Grassy Plains,Farley's Plantation,Broccoli,40,
Other,West Grassy Plains,Farley's Plantation,Cabbage,40,
Other,West Grassy Plains,Farley's Plantation,Bell Pepper,40,
Other,West Grassy Plains,Farley's Plantation,Castele Apple,20,
Other,West Grassy Plains,Farley's Plantation,Rainbow Apple,100,Bliss
Other,West Grassy Plains,Farley's Plantation,Dandelion Puff,10,
Other,West Grassy Plains,Farley's Plantation,Silk Thread,80,
Other,West Grassy Plains,Farley's Plantation,Sheep Fleece,40,
Other,West Grassy Plains,Farley's Plantation,Goat Fleece,160,
Other,West Grassy Plains,Farley's Plantation,Golden Sheep Fleece,300,Bliss
Other,West Grassy Plains,Farley's Plantation,Black Goat Fleece,300,Bliss
Other,West Grassy Plains,Farley's Plantation,Animal Droppings,10,
Fairy,West Grassy Plains,Mysterious Fairy,Castele Bloom,20,
Fairy,West Grassy Plains,Mysterious Fairy,Port Puerto Bloom,40,
Fairy,West Grassy Plains,Mysterious Fairy,Al Maajik Bloom,60,
Fairy,West Grassy Plains,Mysterious Fairy,Running Flower,300,
Fairy,West Grassy Plains,Mysterious Fairy,Lucky Flower,300,
Fairy,West Grassy Plains,Mysterious Fairy,Energising Flower,300,
Fairy,West Grassy Plains,Mysterious Fairy,Yellowbell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Greenbell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Bluebell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Blackbell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Redbell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Whitebell,10,
Fairy,West Grassy Plains,Mysterious Fairy,Criticaline,6000,
Fairy,West Grassy Plains,Mysterious Fairy,Guardine,6000,
Fairy,West Grassy Plains,Mysterious Fairy,Qualitine,1000,
Fairy,West Grassy Plains,Mysterious Fairy,Energising Stone,2000,
Fairy,West Grassy Plains,Mysterious Fairy,Round Specs,6300,
Fairy,West Grassy Plains,Mysterious Fairy,Stylish Specs,8000,
Fairy,West Grassy Plains,Mysterious Fairy,Black-Rimmed Glasses,10000,
Fairy,West Grassy Plains,Mysterious Fairy,Red-Rimmed Glasses,12000,
Fairy,West Grassy Plains,Mysterious Fairy,Classy Monocle,10000,
Fairy,West Grassy Plains,Mysterious Fairy,Mini Specs,19000,
Fairy,West Grassy Plains,Mysterious Fairy,Wild Side Shades,16000,
Fairy,West Grassy Plains,Mysterious Fairy,Cape,800,
Fairy,West Grassy Plains,Mysterious Fairy,Long Cape,8000,
Fairy,West Grassy Plains,Mysterious Fairy,Short Cape,9800,
Fairy,West Grassy Plains,Mysterious Fairy,Teddy Bear,1800,
Fairy,West Grassy Plains,Mysterious Fairy,Cuddly Sea Turtle,3000,
Fairy,West Grassy Plains,Mysterious Fairy,Toy Camel,7000,
Fairy,West Grassy Plains,Mysterious Fairy,Big Bunny Plushie,12000,
Fairy,West Grassy Plains,Mysterious Fairy,Patched Hole,1600,
Other,West Grassy Plains,Campsite General Items,Big Egg,600,
Other,West Grassy Plains,Campsite General Items,Campfire Roast,600,
Other,West Grassy Plains,Campsite General Items,Grassland Grapes,30,
Other,West Grassy Plains,Campsite General Items,Healweed,10,
Other,West Grassy Plains,Campsite General Items,Vitalweed,30,
Other,West Grassy Plains,Campsite General Items,Life Cure,1500,
Other,West Grassy Plains,Campsite General Items,Poison Antidote,120,
Other,West Grassy Plains,Campsite General Items,Stun Antidote,160,
Other,West Grassy Plains,Campsite General Items,Sleep Antidote,200,
Other,West Grassy Plains,Campsite General Items,Mini Bomb,300,
Other,West Grassy Plains,Campsite General Items,Snake Scales,200,
Other,West Grassy Plains,Campsite General Items,Poison Powder,120,
Other,West Grassy Plains,Campsite General Items,Stun Powder,400,
Other,West Grassy Plains,Campsite General Items,Sleep Powder,180,
Other,West Grassy Plains,Campsite General Items,Snakeskin Helm,1400,
Other,West Grassy Plains,Campsite General Items,Snakeskin Mail,2000,
Other,West Grassy Plains,Campsite General Items,Snakeskin Leggings,2000,
Other,West Grassy Plains,Campsite General Items,Snakeskin Gloves,880,
Other,West Grassy Plains,Campsite General Items,Snakeskin Boots,880,
Life,West Grassy Plains,Campsite Hunter Life Store,Grassland Honey,10,
Life,West Grassy Plains,Campsite Hunter Life Store,Plateau Honey,30,
Life,West Grassy Plains,Campsite Hunter Life Store,Island Honey,60,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Crit Aid,2500,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Fine Feather,100,
Life,West Grassy Plains,Campsite Hunter Life Store,Glossy Feather,200,
Life,West Grassy Plains,Campsite Hunter Life Store,Coal-Black Feather,400,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Animal Hide,120,
Life,West Grassy Plains,Campsite Hunter Life Store,Beast Hide,600,
Life,West Grassy Plains,Campsite Hunter Life Store,Monster Hide,900,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Animal Claws,40,
Life,West Grassy Plains,Campsite Hunter Life Store,Hard Claws,240,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Animal Fang,60,
Life,West Grassy Plains,Campsite Hunter Life Store,Thick Fang,360,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Hunter's Bow,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Oak Bow,1200,
Life,West Grassy Plains,Campsite Hunter Life Store,Pine Bow,1800,
Life,West Grassy Plains,Campsite Hunter Life Store,Palm Bow,2400,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Sugar Bow,4800,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Orca Bow,12000,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Flaming Bow,15000,Master: Hunter
Life,West Grassy Plains,Campsite Hunter Life Store,Hunter's Tunic,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Huntress's Top,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Hunter's Trousers,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Huntress's Bottoms,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Hunter's Hat,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Huntress's Hat,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Hunter's Shoes,400,
Life,West Grassy Plains,Campsite Hunter Life Store,Claw Necklace,1200,
Life,West Grassy Plains,Campsite Hunter Life Store,Savage Necklace,7000,Master: Hunter
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Spring Water,10,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Plateau Honey,30,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Healweed,10,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,HP Potion,60,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Hi-HP Potion,320,Bliss
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Vitalweed,30,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,SP Potion,120,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Hi-SP Potion,440,Bliss
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Life Cure,1500,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Poison Antidote,120,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Stun Antidote,160,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Sleep Antidote,200,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Mini Bomb,300,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Plains Iron,80,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Blue Stone,1000,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Aquamarine,1500,Bliss
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Green Gel,60,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Oak Log,60,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Pine Log,80,
Other,Mount Snowpeak,Mount Snowpeak Travelling Seller,Elder Pine Log,480,Bliss
Life,Mount Snowpeak,Champion's House Paladin Life Store,Crit Aid,2500,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Squire's Sword,400,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Bronze Sword,800,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Sword,1600,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Silver Sword,3600,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Gold Sword,5000,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Captain's Sword,9000,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Paladin's Sword,24000,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Paladin's Shield,400,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Bronze Shield,1600,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Shield,2000,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Silver Shield,3600,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Gold Shield,4200,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Captain's Shield,5400,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Knightly Shield,18000,Master: Paladin
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Helm,1000,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Armour,1200,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Leg Guards,1200,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Gauntlets,840,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Iron Boots,840,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Paladin's Armour,400,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Paladin's Breastplate,400,
Life,Mount Snowpeak,Champion's House Paladin Life Store,Paladin Leg Guards (M),400,
